modelo,fold,score
RandomForest,0,0.468
RandomForest,1,0.689795918367347
RandomForest,2,0.34177215189873417
RandomForest,3,0.325
RandomForest,4,0.285
GradientBoosting,0,0.488
GradientBoosting,1,0.6244897959183674
GradientBoosting,2,0.35864978902953587
GradientBoosting,3,0.285
GradientBoosting,4,0.265
LogisticRegression,0,0.384
LogisticRegression,1,0.6653061224489796
LogisticRegression,2,0.4641350210970464
LogisticRegression,3,0.255
LogisticRegression,4,0.245
SVM_RBF,0,0.356
SVM_RBF,1,0.6653061224489796
SVM_RBF,2,0.21940928270042195
SVM_RBF,3,0.22
SVM_RBF,4,0.27
KNN,0,0.404
KNN,1,0.6530612244897959
KNN,2,0.3291139240506329
KNN,3,0.365
KNN,4,0.305
MLP,0,0.38
MLP,1,0.6285714285714286
MLP,2,0.3291139240506329
MLP,3,0.235
MLP,4,0.325
NaiveBayes,0,0.556
NaiveBayes,1,0.7387755102040816
NaiveBayes,2,0.47257383966244726
NaiveBayes,3,0.25
NaiveBayes,4,0.315
