modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.9361702127659575,0.4631578947368421,0.6197183098591549,95
RandomForest,MAR,0.4028776978417266,0.37333333333333335,0.3875432525951557,150
RandomForest,MNAR,0.14678899082568808,0.32,0.20125786163522014,50
GradientBoosting,MCAR,0.9166666666666666,0.4631578947368421,0.6153846153846154,95
GradientBoosting,MAR,0.3712121212121212,0.32666666666666666,0.3475177304964539,150
GradientBoosting,MNAR,0.1391304347826087,0.32,0.19393939393939394,50
LogisticRegression,MCAR,0.9130434782608695,0.4421052631578947,0.5957446808510638,95
LogisticRegression,MAR,0.2897196261682243,0.20666666666666667,0.24124513618677043,150
LogisticRegression,MNAR,0.028169014084507043,0.08,0.041666666666666664,50
SVM_RBF,MCAR,0.8571428571428571,0.37894736842105264,0.5255474452554745,95
SVM_RBF,MAR,0.39215686274509803,0.4,0.39603960396039606,150
SVM_RBF,MNAR,0.08,0.16,0.10666666666666667,50
KNN,MCAR,0.6351351351351351,0.49473684210526314,0.5562130177514792,95
KNN,MAR,0.4818181818181818,0.35333333333333333,0.4076923076923077,150
KNN,MNAR,0.16216216216216217,0.36,0.2236024844720497,50
MLP,MCAR,0.8372093023255814,0.37894736842105264,0.5217391304347826,95
MLP,MAR,0.3873239436619718,0.36666666666666664,0.3767123287671233,150
MLP,MNAR,0.13636363636363635,0.3,0.1875,50
NaiveBayes,MCAR,1.0,0.4105263157894737,0.582089552238806,95
NaiveBayes,MAR,0.5842696629213483,0.3466666666666667,0.4351464435146444,150
NaiveBayes,MNAR,0.16766467065868262,0.56,0.25806451612903225,50
