sample_idx,y_true,modelo,pred_baseline,conf_baseline,pred_llm,pred_ensemble,switched_to_llm,group
37,0,RandomForest,0,0.7525,0,0,False,MCAR_breastcancer_barenuclei
38,0,RandomForest,0,0.625,0,0,False,MCAR_breastcancer_barenuclei
39,0,RandomForest,0,0.695,0,0,False,MCAR_breastcancer_barenuclei
40,0,RandomForest,0,0.6875,0,0,False,MCAR_breastcancer_barenuclei
41,0,RandomForest,0,0.74,0,0,False,MCAR_breastcancer_barenuclei
42,0,RandomForest,0,0.7075,0,0,False,MCAR_breastcancer_barenuclei
43,0,RandomForest,0,0.7425,0,0,False,MCAR_breastcancer_barenuclei
44,0,RandomForest,0,0.7725,0,0,False,MCAR_breastcancer_barenuclei
45,0,RandomForest,0,0.745,0,0,False,MCAR_breastcancer_barenuclei
46,0,RandomForest,0,0.725,0,0,False,MCAR_breastcancer_barenuclei
47,0,RandomForest,0,0.74,0,0,False,MCAR_breastcancer_barenuclei
48,0,RandomForest,0,0.705,0,0,False,MCAR_breastcancer_barenuclei
49,0,RandomForest,0,0.855,0,0,False,MCAR_breastcancer_barenuclei
50,0,RandomForest,0,0.915,0,0,False,MCAR_breastcancer_barenuclei
51,0,RandomForest,0,0.72,0,0,False,MCAR_breastcancer_barenuclei
52,0,RandomForest,0,0.7375,0,0,False,MCAR_breastcancer_barenuclei
53,0,RandomForest,0,0.9025,0,0,False,MCAR_breastcancer_barenuclei
54,0,RandomForest,0,0.8125,0,0,False,MCAR_breastcancer_barenuclei
55,0,RandomForest,0,0.735,0,0,False,MCAR_breastcancer_barenuclei
56,0,RandomForest,0,0.7825,0,0,False,MCAR_breastcancer_barenuclei
57,0,RandomForest,0,0.865,0,0,False,MCAR_breastcancer_barenuclei
58,0,RandomForest,0,0.675,0,0,False,MCAR_breastcancer_barenuclei
59,0,RandomForest,0,0.9075,0,0,False,MCAR_breastcancer_barenuclei
60,0,RandomForest,0,0.675,0,0,False,MCAR_breastcancer_barenuclei
61,0,RandomForest,0,0.8125,0,0,False,MCAR_breastcancer_barenuclei
62,0,RandomForest,0,0.81,0,0,False,MCAR_breastcancer_barenuclei
63,0,RandomForest,0,0.735,0,0,False,MCAR_breastcancer_barenuclei
64,0,RandomForest,0,0.6375,0,0,False,MCAR_breastcancer_barenuclei
65,0,RandomForest,0,0.8075,0,0,False,MCAR_breastcancer_barenuclei
66,0,RandomForest,0,0.7375,0,0,False,MCAR_breastcancer_barenuclei
67,0,RandomForest,0,0.92,0,0,False,MCAR_breastcancer_barenuclei
68,0,RandomForest,0,0.7425,0,0,False,MCAR_breastcancer_barenuclei
69,0,RandomForest,0,0.7775,0,0,False,MCAR_breastcancer_barenuclei
70,0,RandomForest,0,0.765,0,0,False,MCAR_breastcancer_barenuclei
71,0,RandomForest,0,0.7325,0,0,False,MCAR_breastcancer_barenuclei
72,0,RandomForest,0,0.8425,0,0,False,MCAR_breastcancer_barenuclei
73,0,RandomForest,0,0.8475,0,0,False,MCAR_breastcancer_barenuclei
74,0,RandomForest,2,0.485,1,1,True,MCAR_breastcancer_barenuclei
75,0,RandomForest,0,0.6525,0,0,False,MCAR_breastcancer_barenuclei
76,0,RandomForest,0,0.7975,0,0,False,MCAR_breastcancer_barenuclei
77,0,RandomForest,0,0.6625,0,0,False,MCAR_breastcancer_barenuclei
78,0,RandomForest,0,0.6825,0,0,False,MCAR_breastcancer_barenuclei
79,0,RandomForest,0,0.7175,0,0,False,MCAR_breastcancer_barenuclei
80,0,RandomForest,0,0.825,0,0,False,MCAR_breastcancer_barenuclei
81,0,RandomForest,0,0.825,0,0,False,MCAR_breastcancer_barenuclei
