modelo,fold,score
RandomForest,0,0.408
RandomForest,1,0.763265306122449
RandomForest,2,0.41350210970464135
RandomForest,3,0.18
RandomForest,4,0.245
GradientBoosting,0,0.38
GradientBoosting,1,0.6530612244897959
GradientBoosting,2,0.4092827004219409
GradientBoosting,3,0.195
GradientBoosting,4,0.2
LogisticRegression,0,0.336
LogisticRegression,1,0.8448979591836735
LogisticRegression,2,0.5316455696202531
LogisticRegression,3,0.325
LogisticRegression,4,0.285
SVM_RBF,0,0.404
SVM_RBF,1,0.7959183673469388
SVM_RBF,2,0.3670886075949367
SVM_RBF,3,0.265
SVM_RBF,4,0.245
KNN,0,0.372
KNN,1,0.7142857142857143
KNN,2,0.35864978902953587
KNN,3,0.305
KNN,4,0.275
MLP,0,0.352
MLP,1,0.6816326530612244
MLP,2,0.4177215189873418
MLP,3,0.225
MLP,4,0.245
NaiveBayes,0,0.524
NaiveBayes,1,0.8653061224489796
NaiveBayes,2,0.5063291139240507
NaiveBayes,3,0.335
NaiveBayes,4,0.44
