modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.9583333333333334,0.4842105263157895,0.6433566433566433,95
RandomForest,MAR,0.453416149068323,0.4866666666666667,0.4694533762057878,150
RandomForest,MNAR,0.11627906976744186,0.2,0.14705882352941177,50
GradientBoosting,MCAR,0.7777777777777778,0.07368421052631578,0.1346153846153846,95
GradientBoosting,MAR,0.38,0.5066666666666667,0.4342857142857143,150
GradientBoosting,MNAR,0.1511627906976744,0.26,0.19117647058823528,50
LogisticRegression,MCAR,0.9777777777777777,0.4631578947368421,0.6285714285714286,95
LogisticRegression,MAR,0.45695364238410596,0.46,0.4584717607973422,150
LogisticRegression,MNAR,0.08080808080808081,0.16,0.10738255033557047,50
SVM_RBF,MCAR,0.7450980392156863,0.4,0.5205479452054794,95
SVM_RBF,MAR,0.5328947368421053,0.54,0.5364238410596026,150
SVM_RBF,MNAR,0.17391304347826086,0.32,0.22535211267605634,50
KNN,MCAR,0.7384615384615385,0.5052631578947369,0.6,95
KNN,MAR,0.5481481481481482,0.49333333333333335,0.519298245614035,150
KNN,MNAR,0.15789473684210525,0.3,0.20689655172413793,50
MLP,MCAR,0.8444444444444444,0.4,0.5428571428571428,95
MLP,MAR,0.47435897435897434,0.49333333333333335,0.48366013071895425,150
MLP,MNAR,0.10638297872340426,0.2,0.1388888888888889,50
NaiveBayes,MCAR,1.0,0.4631578947368421,0.6330935251798561,95
NaiveBayes,MAR,0.5285714285714286,0.49333333333333335,0.5103448275862069,150
NaiveBayes,MNAR,0.15315315315315314,0.34,0.2111801242236025,50
