data_type,configuracao,n_features,modelo_ml,accuracy
real,baseline (apenas ML),21,RandomForest,0.3932
real,baseline (apenas ML),21,GradientBoosting,0.3695
real,baseline (apenas ML),21,LogisticRegression,0.261
real,baseline (apenas ML),21,SVM_RBF,0.3525
real,baseline (apenas ML),21,KNN,0.4
real,baseline (apenas ML),21,MLP,0.3593
real,baseline (apenas ML),21,NaiveBayes,0.4034
real,gemini-3-flash-preview (ML + LLM),29,RandomForest,0.4373
real,gemini-3-flash-preview (ML + LLM),29,GradientBoosting,0.3254
real,gemini-3-flash-preview (ML + LLM),29,LogisticRegression,0.4102
real,gemini-3-flash-preview (ML + LLM),29,SVM_RBF,0.4576
real,gemini-3-flash-preview (ML + LLM),29,KNN,0.4644
real,gemini-3-flash-preview (ML + LLM),29,MLP,0.4136
real,gemini-3-flash-preview (ML + LLM),29,NaiveBayes,0.4576
