modelo,test_group,true_class,n_samples,accuracy,cenario
GradientBoosting,MAR_airquality_ozone,MAR,50,0.52,C_full
GradientBoosting,MAR_colic_resprate,MAR,50,0.22,C_full
GradientBoosting,MAR_hearth_chol,MAR,50,0.3,C_full
GradientBoosting,MAR_kidney_hemo,MAR,50,0.22,C_full
GradientBoosting,MAR_mammographic_density,MAR,50,0.32,C_full
GradientBoosting,MAR_oceanbuoys_airtemp,MAR,50,1.0,C_full
GradientBoosting,MAR_oceanbuoys_humidity,MAR,50,0.66,C_full
GradientBoosting,MAR_sick_t3,MAR,50,0.04,C_full
GradientBoosting,MAR_sick_tsh,MAR,50,0.02,C_full
GradientBoosting,MAR_titanic_age,MAR,50,1.0,C_full
GradientBoosting,MAR_titanic_age_v2,MAR,50,1.0,C_full
GradientBoosting,MCAR_autompg_horsepower,MCAR,37,0.02702702702702703,C_full
GradientBoosting,MCAR_breastcancer_barenuclei,MCAR,45,0.4222222222222222,C_full
GradientBoosting,MCAR_cylinderbands_bladepressure,MCAR,50,0.1,C_full
GradientBoosting,MCAR_cylinderbands_esavoltage,MCAR,50,0.02,C_full
GradientBoosting,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_full
GradientBoosting,MNAR_adult_capitalgain,MNAR,50,0.4,C_full
GradientBoosting,MNAR_colic_refluxph,MNAR,50,0.2,C_full
GradientBoosting,MNAR_cylinderbands_varnishpct,MNAR,50,0.08,C_full
GradientBoosting,MNAR_kidney_pot,MNAR,50,0.12,C_full
GradientBoosting,MNAR_kidney_sod,MNAR,50,0.22,C_full
GradientBoosting,MNAR_mroz_wages,MNAR,50,0.56,C_full
GradientBoosting,MNAR_pima_insulin,MNAR,50,0.0,C_full
KNN,MAR_airquality_ozone,MAR,50,0.44,C_full
KNN,MAR_colic_resprate,MAR,50,0.36,C_full
KNN,MAR_hearth_chol,MAR,50,0.26,C_full
KNN,MAR_kidney_hemo,MAR,50,0.3,C_full
KNN,MAR_mammographic_density,MAR,50,0.22,C_full
KNN,MAR_oceanbuoys_airtemp,MAR,50,0.9,C_full
KNN,MAR_oceanbuoys_humidity,MAR,50,0.08,C_full
KNN,MAR_sick_t3,MAR,50,0.2,C_full
KNN,MAR_sick_tsh,MAR,50,0.14,C_full
KNN,MAR_titanic_age,MAR,50,0.76,C_full
KNN,MAR_titanic_age_v2,MAR,50,0.74,C_full
KNN,MCAR_autompg_horsepower,MCAR,37,0.8108108108108109,C_full
KNN,MCAR_breastcancer_barenuclei,MCAR,45,0.8888888888888888,C_full
KNN,MCAR_cylinderbands_bladepressure,MCAR,50,0.12,C_full
KNN,MCAR_cylinderbands_esavoltage,MCAR,50,0.08,C_full
KNN,MCAR_hypothyroid_t4u,MCAR,50,0.06,C_full
KNN,MNAR_adult_capitalgain,MNAR,50,0.5,C_full
KNN,MNAR_colic_refluxph,MNAR,50,0.34,C_full
KNN,MNAR_cylinderbands_varnishpct,MNAR,50,0.08,C_full
KNN,MNAR_kidney_pot,MNAR,50,0.22,C_full
KNN,MNAR_kidney_sod,MNAR,50,0.2,C_full
KNN,MNAR_mroz_wages,MNAR,50,0.52,C_full
KNN,MNAR_pima_insulin,MNAR,50,0.1,C_full
LogisticRegression,MAR_airquality_ozone,MAR,50,0.94,C_full
LogisticRegression,MAR_colic_resprate,MAR,50,0.34,C_full
LogisticRegression,MAR_hearth_chol,MAR,50,0.56,C_full
LogisticRegression,MAR_kidney_hemo,MAR,50,0.48,C_full
LogisticRegression,MAR_mammographic_density,MAR,50,0.02,C_full
LogisticRegression,MAR_oceanbuoys_airtemp,MAR,50,1.0,C_full
LogisticRegression,MAR_oceanbuoys_humidity,MAR,50,0.66,C_full
LogisticRegression,MAR_sick_t3,MAR,50,0.0,C_full
LogisticRegression,MAR_sick_tsh,MAR,50,0.08,C_full
LogisticRegression,MAR_titanic_age,MAR,50,0.86,C_full
LogisticRegression,MAR_titanic_age_v2,MAR,50,0.82,C_full
LogisticRegression,MCAR_autompg_horsepower,MCAR,37,0.5945945945945946,C_full
LogisticRegression,MCAR_breastcancer_barenuclei,MCAR,45,0.8222222222222222,C_full
LogisticRegression,MCAR_cylinderbands_bladepressure,MCAR,50,0.44,C_full
LogisticRegression,MCAR_cylinderbands_esavoltage,MCAR,50,0.1,C_full
LogisticRegression,MCAR_hypothyroid_t4u,MCAR,50,0.02,C_full
LogisticRegression,MNAR_adult_capitalgain,MNAR,50,0.94,C_full
LogisticRegression,MNAR_colic_refluxph,MNAR,50,0.6,C_full
LogisticRegression,MNAR_cylinderbands_varnishpct,MNAR,50,0.56,C_full
LogisticRegression,MNAR_kidney_pot,MNAR,50,0.22,C_full
LogisticRegression,MNAR_kidney_sod,MNAR,50,0.22,C_full
LogisticRegression,MNAR_mroz_wages,MNAR,50,0.66,C_full
LogisticRegression,MNAR_pima_insulin,MNAR,50,0.0,C_full
MLP,MAR_airquality_ozone,MAR,50,0.64,C_full
MLP,MAR_colic_resprate,MAR,50,0.22,C_full
MLP,MAR_hearth_chol,MAR,50,0.32,C_full
MLP,MAR_kidney_hemo,MAR,50,0.14,C_full
MLP,MAR_mammographic_density,MAR,50,0.02,C_full
MLP,MAR_oceanbuoys_airtemp,MAR,50,1.0,C_full
MLP,MAR_oceanbuoys_humidity,MAR,50,0.76,C_full
MLP,MAR_sick_t3,MAR,50,0.1,C_full
MLP,MAR_sick_tsh,MAR,50,0.02,C_full
MLP,MAR_titanic_age,MAR,50,0.94,C_full
MLP,MAR_titanic_age_v2,MAR,50,0.86,C_full
MLP,MCAR_autompg_horsepower,MCAR,37,0.05405405405405406,C_full
MLP,MCAR_breastcancer_barenuclei,MCAR,45,0.8,C_full
MLP,MCAR_cylinderbands_bladepressure,MCAR,50,0.02,C_full
MLP,MCAR_cylinderbands_esavoltage,MCAR,50,0.16,C_full
MLP,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_full
MLP,MNAR_adult_capitalgain,MNAR,50,0.4,C_full
MLP,MNAR_colic_refluxph,MNAR,50,0.3,C_full
MLP,MNAR_cylinderbands_varnishpct,MNAR,50,0.06,C_full
MLP,MNAR_kidney_pot,MNAR,50,0.16,C_full
MLP,MNAR_kidney_sod,MNAR,50,0.08,C_full
MLP,MNAR_mroz_wages,MNAR,50,0.54,C_full
MLP,MNAR_pima_insulin,MNAR,50,0.0,C_full
NaiveBayes,MAR_airquality_ozone,MAR,50,0.72,C_full
NaiveBayes,MAR_colic_resprate,MAR,50,0.08,C_full
NaiveBayes,MAR_hearth_chol,MAR,50,0.54,C_full
NaiveBayes,MAR_kidney_hemo,MAR,50,0.48,C_full
NaiveBayes,MAR_mammographic_density,MAR,50,0.76,C_full
NaiveBayes,MAR_oceanbuoys_airtemp,MAR,50,1.0,C_full
NaiveBayes,MAR_oceanbuoys_humidity,MAR,50,0.98,C_full
NaiveBayes,MAR_sick_t3,MAR,50,0.38,C_full
NaiveBayes,MAR_sick_tsh,MAR,50,0.02,C_full
NaiveBayes,MAR_titanic_age,MAR,50,0.94,C_full
NaiveBayes,MAR_titanic_age_v2,MAR,50,0.72,C_full
NaiveBayes,MCAR_autompg_horsepower,MCAR,37,0.40540540540540543,C_full
NaiveBayes,MCAR_breastcancer_barenuclei,MCAR,45,0.7111111111111111,C_full
NaiveBayes,MCAR_cylinderbands_bladepressure,MCAR,50,0.04,C_full
NaiveBayes,MCAR_cylinderbands_esavoltage,MCAR,50,0.02,C_full
NaiveBayes,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_full
NaiveBayes,MNAR_adult_capitalgain,MNAR,50,0.92,C_full
NaiveBayes,MNAR_colic_refluxph,MNAR,50,0.44,C_full
NaiveBayes,MNAR_cylinderbands_varnishpct,MNAR,50,0.78,C_full
NaiveBayes,MNAR_kidney_pot,MNAR,50,0.82,C_full
NaiveBayes,MNAR_kidney_sod,MNAR,50,0.56,C_full
NaiveBayes,MNAR_mroz_wages,MNAR,50,0.9,C_full
NaiveBayes,MNAR_pima_insulin,MNAR,50,0.26,C_full
RandomForest,MAR_airquality_ozone,MAR,50,0.58,C_full
RandomForest,MAR_colic_resprate,MAR,50,0.2,C_full
