modelo,fold,score
RandomForest,0,0.4
RandomForest,1,0.8408163265306122
RandomForest,2,0.3924050632911392
RandomForest,3,0.225
RandomForest,4,0.22
GradientBoosting,0,0.424
GradientBoosting,1,0.7673469387755102
GradientBoosting,2,0.4008438818565401
GradientBoosting,3,0.18
GradientBoosting,4,0.185
LogisticRegression,0,0.392
LogisticRegression,1,0.9224489795918367
LogisticRegression,2,0.4978902953586498
LogisticRegression,3,0.35
LogisticRegression,4,0.23
SVM_RBF,0,0.368
SVM_RBF,1,0.8204081632653061
SVM_RBF,2,0.25316455696202533
SVM_RBF,3,0.255
SVM_RBF,4,0.305
KNN,0,0.368
KNN,1,0.763265306122449
KNN,2,0.4092827004219409
KNN,3,0.27
KNN,4,0.335
MLP,0,0.388
MLP,1,0.8081632653061225
MLP,2,0.4050632911392405
MLP,3,0.14
MLP,4,0.295
NaiveBayes,0,0.5
NaiveBayes,1,0.8244897959183674
NaiveBayes,2,0.6540084388185654
NaiveBayes,3,0.38
NaiveBayes,4,0.415
