modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.975609756097561,0.42105263157894735,0.5882352941176471,95
RandomForest,MAR,0.4785276073619632,0.52,0.4984025559105431,150
RandomForest,MNAR,0.17582417582417584,0.32,0.22695035460992907,50
GradientBoosting,MCAR,0.9285714285714286,0.4105263157894737,0.5693430656934306,95
GradientBoosting,MAR,0.45614035087719296,0.52,0.48598130841121495,150
GradientBoosting,MNAR,0.13414634146341464,0.22,0.16666666666666666,50
LogisticRegression,MCAR,0.9574468085106383,0.47368421052631576,0.6338028169014085,95
LogisticRegression,MAR,0.547945205479452,0.5333333333333333,0.5405405405405406,150
LogisticRegression,MNAR,0.1568627450980392,0.32,0.21052631578947367,50
SVM_RBF,MCAR,0.74,0.3894736842105263,0.5103448275862069,95
SVM_RBF,MAR,0.47928994082840237,0.54,0.5078369905956113,150
SVM_RBF,MNAR,0.18421052631578946,0.28,0.2222222222222222,50
KNN,MCAR,0.6896551724137931,0.42105263157894735,0.5228758169934641,95
KNN,MAR,0.525,0.56,0.5419354838709678,150
KNN,MNAR,0.23376623376623376,0.36,0.28346456692913385,50
MLP,MCAR,0.8367346938775511,0.43157894736842106,0.5694444444444444,95
MLP,MAR,0.4899328859060403,0.4866666666666667,0.4882943143812709,150
MLP,MNAR,0.17525773195876287,0.34,0.23129251700680273,50
NaiveBayes,MCAR,1.0,0.30526315789473685,0.46774193548387094,95
NaiveBayes,MAR,0.5066666666666667,0.5066666666666667,0.5066666666666667,150
NaiveBayes,MNAR,0.14655172413793102,0.34,0.20481927710843373,50
