modelo,fold,score
RandomForest,0,0.396
RandomForest,1,0.7877551020408163
RandomForest,2,0.38396624472573837
RandomForest,3,0.205
RandomForest,4,0.225
GradientBoosting,0,0.38
GradientBoosting,1,0.6857142857142857
GradientBoosting,2,0.4177215189873418
GradientBoosting,3,0.245
GradientBoosting,4,0.205
LogisticRegression,0,0.352
LogisticRegression,1,0.8244897959183674
LogisticRegression,2,0.4810126582278481
LogisticRegression,3,0.365
LogisticRegression,4,0.28
SVM_RBF,0,0.352
SVM_RBF,1,0.7387755102040816
SVM_RBF,2,0.3037974683544304
SVM_RBF,3,0.2
SVM_RBF,4,0.25
KNN,0,0.38
KNN,1,0.6612244897959184
KNN,2,0.3628691983122363
KNN,3,0.26
KNN,4,0.295
MLP,0,0.348
MLP,1,0.689795918367347
MLP,2,0.37130801687763715
MLP,3,0.12
MLP,4,0.275
NaiveBayes,0,0.568
NaiveBayes,1,0.7551020408163265
NaiveBayes,2,0.3924050632911392
NaiveBayes,3,0.31
NaiveBayes,4,0.355
