modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.9761904761904762,0.43157894736842106,0.5985401459854015,95
RandomForest,MAR,0.46107784431137727,0.5133333333333333,0.48580441640378547,150
RandomForest,MNAR,0.12790697674418605,0.22,0.16176470588235295,50
GradientBoosting,MCAR,0.8333333333333334,0.05263157894736842,0.09900990099009901,95
GradientBoosting,MAR,0.38190954773869346,0.5066666666666667,0.4355300859598854,150
GradientBoosting,MNAR,0.16666666666666666,0.3,0.21428571428571427,50
LogisticRegression,MCAR,0.9767441860465116,0.4421052631578947,0.6086956521739131,95
LogisticRegression,MAR,0.45806451612903226,0.47333333333333333,0.46557377049180326,150
LogisticRegression,MNAR,0.07216494845360824,0.14,0.09523809523809523,50
SVM_RBF,MCAR,0.95,0.4,0.562962962962963,95
SVM_RBF,MAR,0.45294117647058824,0.5133333333333333,0.48125,150
SVM_RBF,MNAR,0.09411764705882353,0.16,0.11851851851851852,50
KNN,MCAR,0.7551020408163265,0.3894736842105263,0.5138888888888888,95
KNN,MAR,0.5225806451612903,0.54,0.5311475409836065,150
KNN,MNAR,0.10989010989010989,0.2,0.14184397163120568,50
MLP,MCAR,0.972972972972973,0.37894736842105264,0.5454545454545454,95
MLP,MAR,0.4391891891891892,0.43333333333333335,0.436241610738255,150
MLP,MNAR,0.18181818181818182,0.4,0.25,50
NaiveBayes,MCAR,1.0,0.2736842105263158,0.4297520661157025,95
NaiveBayes,MAR,0.5211267605633803,0.49333333333333335,0.5068493150684932,150
NaiveBayes,MNAR,0.13385826771653545,0.34,0.192090395480226,50
