modelo,fold,score
RandomForest,0,0.232
RandomForest,1,0.2
RandomForest,2,0.28270042194092826
RandomForest,3,0.64
RandomForest,4,0.585
GradientBoosting,0,0.268
GradientBoosting,1,0.22040816326530613
GradientBoosting,2,0.25316455696202533
GradientBoosting,3,0.525
GradientBoosting,4,0.46
LogisticRegression,0,0.26
LogisticRegression,1,0.10204081632653061
LogisticRegression,2,0.27848101265822783
LogisticRegression,3,0.415
LogisticRegression,4,0.55
SVM_RBF,0,0.184
SVM_RBF,1,0.19591836734693877
SVM_RBF,2,0.2489451476793249
SVM_RBF,3,0.505
SVM_RBF,4,0.545
KNN,0,0.328
KNN,1,0.2897959183673469
KNN,2,0.3881856540084388
KNN,3,0.5
KNN,4,0.57
MLP,0,0.228
MLP,1,0.11836734693877551
MLP,2,0.20675105485232068
MLP,3,0.435
MLP,4,0.555
NaiveBayes,0,0.32
NaiveBayes,1,0.3346938775510204
NaiveBayes,2,0.20253164556962025
NaiveBayes,3,0.715
NaiveBayes,4,0.645
