modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.8913043478260869,0.5985401459854015,0.7161572052401747,137
RandomForest,MAR,0.5053763440860215,0.47,0.48704663212435234,100
RandomForest,MNAR,0.17647058823529413,0.36,0.23684210526315788,50
GradientBoosting,MCAR,0.8518518518518519,0.3357664233576642,0.4816753926701571,137
GradientBoosting,MAR,0.4576271186440678,0.54,0.4954128440366973,100
GradientBoosting,MNAR,0.26956521739130435,0.62,0.37575757575757573,50
LogisticRegression,MCAR,0.8035714285714286,0.656934306569343,0.7228915662650602,137
LogisticRegression,MAR,0.6774193548387096,0.63,0.6528497409326425,100
LogisticRegression,MNAR,0.12195121951219512,0.2,0.15151515151515152,50
SVM_RBF,MCAR,0.8833333333333333,0.38686131386861317,0.5380710659898477,137
SVM_RBF,MAR,0.3951612903225806,0.49,0.4375,100
SVM_RBF,MNAR,0.06796116504854369,0.14,0.0915032679738562,50
KNN,MCAR,0.6761904761904762,0.5182481751824818,0.5867768595041323,137
KNN,MAR,0.504950495049505,0.51,0.5074626865671642,100
KNN,MNAR,0.1111111111111111,0.18,0.13740458015267176,50
MLP,MCAR,0.8909090909090909,0.35766423357664234,0.5104166666666666,137
MLP,MAR,0.432,0.54,0.48,100
MLP,MNAR,0.1308411214953271,0.28,0.17834394904458598,50
NaiveBayes,MCAR,0.9491525423728814,0.40875912408759124,0.5714285714285714,137
NaiveBayes,MAR,0.5357142857142857,0.75,0.625,100
NaiveBayes,MNAR,0.18181818181818182,0.32,0.2318840579710145,50
