feature,importance
X1_mean_diff,0.11888041795871417
log_pval_X1_mask,0.11759743381773828
X1_mannwhitney_pval,0.11404833717427533
mask_entropy,0.09231851717867508
coef_X1_abs,0.07525274207644594
mechdetect_auc_excluded,0.05915003275849607
auc_mask_from_Xobs,0.05520599069375903
mechdetect_auc_complete,0.04671097659015125
mechdetect_delta_complete_shuffled,0.04207755605799869
mechdetect_auc_shuffled,0.0379030638434899
X0_mean_shift_X1_to_X4,0.034564862060972
X0_iqr_ratio,0.03125602308507959
little_proxy_score,0.02904385951443845
mechdetect_delta_complete_excluded,0.02686918167761266
X0_obs_skew_diff,0.026057789438544317
X0_obs_vs_full_ratio,0.02483179734009624
X0_ks_obs_vs_imputed,0.024805752743580933
X0_missing_rate,0.02338510318824705
mechdetect_mwu_pvalue,0.020040562801685046
X0_censoring_score,0.0
X0_tail_missing_ratio,0.0
