dataset,auc_complete,auc_excluded,delta,classification,n_samples
MNAR_quantile_threshold_seed1010883684_mr6,0.4615,0.5,-0.0385,Focused,1
MNAR_quantile_threshold_seed1033102012_mr2,0.4245,0.4776,-0.0531,Focused,1
MNAR_quantile_threshold_seed104558816_mr8,0.4597,0.4674,-0.0077,Focused,1
MNAR_quantile_threshold_seed1056656403_mr10,0.4483,0.4911,-0.0428,Focused,1
MNAR_quantile_threshold_seed1078874731_mr3,0.4404,0.5,-0.0596,Focused,1
MNAR_quantile_threshold_seed1094635673_mr6,0.4926,0.5,-0.0074,Focused,1
MNAR_quantile_threshold_seed1102429122_mr1,0.4687,0.4859,-0.0172,Focused,1
MNAR_quantile_threshold_seed1124647450_mr2,0.5588,0.5,0.0588,Diffuse,1
MNAR_quantile_threshold_seed1140408392_mr5,0.5204,0.5,0.0204,Focused,1
MNAR_quantile_threshold_seed1148201841_mr9,0.538,0.5,0.038,Diffuse,1
MNAR_quantile_threshold_seed1170420169_mr5,0.5711,0.5,0.0711,Diffuse,1
MNAR_quantile_threshold_seed1186181111_mr8,0.5363,0.5,0.0363,Diffuse,1
MNAR_quantile_threshold_seed1216192888_mr2,0.5301,0.4837,0.0464,Diffuse,1
MNAR_quantile_threshold_seed1231953830_mr2,0.4321,0.5,-0.0679,Focused,1
MNAR_quantile_threshold_seed1261965607_mr7,0.4519,0.5,-0.0481,Focused,1
MNAR_quantile_threshold_seed1277726549_mr4,0.5833,0.5,0.0833,Diffuse,1
MNAR_quantile_threshold_seed13013378_mr2,0.5175,0.5001,0.0175,Focused,1
MNAR_quantile_threshold_seed1307738326_mr7,0.5482,0.5,0.0482,Diffuse,1
MNAR_quantile_threshold_seed1345717596_mr9,0.5266,0.5,0.0266,Focused,1
MNAR_quantile_threshold_seed1353511045_mr2,0.5776,0.5,0.0776,Diffuse,1
MNAR_quantile_threshold_seed1391490315_mr4,0.5798,0.5,0.0798,Diffuse,1
MNAR_quantile_threshold_seed1399283764_mr1,0.4616,0.4778,-0.0162,Focused,1
MNAR_quantile_threshold_seed1437263034_mr7,0.4962,0.5,-0.0038,Focused,1
MNAR_quantile_threshold_seed1483035753_mr8,0.4413,0.5,-0.0587,Focused,1
MNAR_quantile_threshold_seed150331535_mr5,0.4689,0.5,-0.0311,Focused,1
MNAR_quantile_threshold_seed1513047530_mr8,0.5036,0.5,0.0036,Focused,1
MNAR_quantile_threshold_seed1528808472_mr1,0.5126,0.5,0.0126,Focused,1
MNAR_quantile_threshold_seed1558820249_mr7,0.5508,0.4742,0.0766,Diffuse,1
MNAR_quantile_threshold_seed1574581191_mr1,0.4506,0.5,-0.0493,Focused,1
MNAR_quantile_threshold_seed1596799519_mr9,0.4861,0.5,-0.0139,Focused,1
MNAR_quantile_threshold_seed1604592968_mr6,0.4992,0.5,-0.0008,Focused,1
MNAR_quantile_threshold_seed1620353910_mr2,0.3837,0.5,-0.1163,Focused,1
MNAR_quantile_threshold_seed1642572238_mr3,0.5813,0.5,0.0813,Diffuse,1
MNAR_quantile_threshold_seed1650365687_mr1,0.4763,0.4999,-0.0237,Focused,1
MNAR_quantile_threshold_seed1658333180_mr7,0.5031,0.5,0.0031,Focused,1
MNAR_quantile_threshold_seed1666126629_mr4,0.4909,0.4896,0.0013,Focused,1
MNAR_quantile_threshold_seed1688344957_mr10,0.4636,0.5,-0.0364,Focused,1
MNAR_quantile_threshold_seed1704105899_mr9,0.5335,0.5,0.0335,Diffuse,1
MNAR_quantile_threshold_seed1711899348_mr8,0.548,0.5,0.048,Diffuse,1
MNAR_quantile_threshold_seed1734117676_mr6,0.4831,0.5,-0.0169,Focused,1
MNAR_quantile_threshold_seed1779890395_mr5,0.554,0.5,0.054,Diffuse,1
MNAR_quantile_threshold_seed1825663114_mr10,0.4795,0.5,-0.0205,Focused,1
MNAR_quantile_threshold_seed1871435833_mr2,0.576,0.5,0.076,Diffuse,1
MNAR_quantile_threshold_seed1893654161_mr6,0.5257,0.5,0.0257,Focused,1
MNAR_quantile_threshold_seed1909415103_mr4,0.4716,0.5,-0.0284,Focused,1
