comparison,modelo,hard_correct_plus_wrong,hard_wrong_plus_correct,mcnemar_chi2,mcnemar_p,significant_005
V3hard_vs_V3plus_threshold,RandomForest,2,0,0.5,0.47950012218695337,False
V3hard_vs_V3plus_threshold,GradientBoosting,2,1,0.0,1.0,False
V3hard_vs_V3plus_threshold,LogisticRegression,5,2,0.5714285714285714,0.4496917979688908,False
V3hard_vs_V3plus_threshold,SVM_RBF,0,0,0.0,1.0,False
V3hard_vs_V3plus_threshold,KNN,14,5,3.3684210526315788,0.06645742001693111,False
V3hard_vs_V3plus_threshold,MLP,1,0,0.0,1.0,False
V3hard_vs_V3plus_threshold,NaiveBayes,0,9,7.111111111111111,0.007660761135179439,True
V3hard_vs_V3plus_threshold,XGBoost,0,0,0.0,1.0,False
V3hard_vs_V3plus_threshold,CatBoost,0,1,0.0,1.0,False
V3hard_vs_V3plus_soft3zone,RandomForest,1,5,1.5,0.22067136191984693,False
V3hard_vs_V3plus_soft3zone,GradientBoosting,7,4,0.36363636363636365,0.5464935954065822,False
V3hard_vs_V3plus_soft3zone,LogisticRegression,4,15,5.2631578947368425,0.021781462791119477,True
V3hard_vs_V3plus_soft3zone,SVM_RBF,4,12,3.0625,0.08011831372763434,False
V3hard_vs_V3plus_soft3zone,KNN,16,12,0.32142857142857145,0.5707503880581739,False
V3hard_vs_V3plus_soft3zone,MLP,6,16,3.6818181818181817,0.055008833629265785,False
V3hard_vs_V3plus_soft3zone,NaiveBayes,0,11,9.090909090909092,0.002568831527022697,True
V3hard_vs_V3plus_soft3zone,XGBoost,10,4,1.7857142857142858,0.18144920772142004,False
V3hard_vs_V3plus_soft3zone,CatBoost,6,5,0.0,1.0,False
V3hard_vs_V3plus_fullprob,RandomForest,1,5,1.5,0.22067136191984693,False
V3hard_vs_V3plus_fullprob,GradientBoosting,7,4,0.36363636363636365,0.5464935954065822,False
V3hard_vs_V3plus_fullprob,LogisticRegression,4,15,5.2631578947368425,0.021781462791119477,True
V3hard_vs_V3plus_fullprob,SVM_RBF,4,12,3.0625,0.08011831372763434,False
V3hard_vs_V3plus_fullprob,KNN,16,12,0.32142857142857145,0.5707503880581739,False
V3hard_vs_V3plus_fullprob,MLP,6,16,3.6818181818181817,0.055008833629265785,False
V3hard_vs_V3plus_fullprob,NaiveBayes,0,11,9.090909090909092,0.002568831527022697,True
V3hard_vs_V3plus_fullprob,XGBoost,10,4,1.7857142857142858,0.18144920772142004,False
V3hard_vs_V3plus_fullprob,CatBoost,6,5,0.0,1.0,False
