X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,auc_mask_from_Xobs,coef_X1_abs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue
0.01,1.0019490577084122,1.0,-0.013025694897126128,0.9393939393939394,0.33593407129286573,0.522415163922999,-0.26498838514342393,0.1503048755966339,0.7803030303030304,0.004747474747474748,1.0,0.5482606262930859,0.003484404528722359,0.23672939353842545,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0039860860218264,1.1176470588235292,-0.0255657791392494,0.923469387755102,0.3406610513858721,0.7149100424310016,-0.2523466751041502,0.10927903325781062,0.6913265306122448,0.009795918367346938,1.0,1.660631320752761,0.009905926205685794,0.240272282125837,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0068652133061389,1.0666666666666667,-0.04084011258743381,0.8900343642611683,0.5146309516670776,1.0480999932589397,-0.2817336636564639,0.02612839469187487,0.6391752577319588,0.01422680412371134,1.0,1.7918301970951818,0.003049568890122935,0.24398322258817914,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0071297207687924,1.0116731517509727,-0.038707989447469004,0.8419243986254294,0.00957565295266245,0.3880407626234031,-0.14820142607244022,0.723401346099819,0.47164948453608246,0.014536082474226804,1.0,1.3161304106605765,0.012194206150672942,0.16648904574798307,0.5,0.5,0.5,0.0,0.0,1.0
0.04,1.0071990349063107,1.0067567567567566,-0.04950331620256598,0.8541666666666666,0.17866204739797853,0.6937619059292802,-0.16164674849267874,0.45968642830273265,0.4791666666666667,0.01875,1.0,2.1541111392443817,0.0,0.17471562867693183,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0015452712081925,1.0,-0.01089919276597573,0.9696969696969696,0.2059557272391333,0.21386951784938588,-0.1312870305118368,0.9447144885708044,0.547979797979798,0.0048484848484848485,1.0,0.4073407449681775,0.0,0.13257824857739028,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0017436493555334,1.019867549668874,-0.012308536809565895,0.8888888888888888,0.10303380948887189,0.09024403583870746,0.056103672382742165,0.6647961532287974,0.6111111111111112,0.004949494949494949,1.0,0.4073407449681775,0.0034838392677764944,0.07326185183190277,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.001557287601117,1.0065359477124183,-0.011695648248362778,0.7575757575757576,0.31840291299926704,0.36747944204946903,-0.197844073813066,0.532659447939042,0.5732323232323232,0.004949494949494949,1.0,1.031893958319993,0.008709101112705085,0.15679430940755265,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0034843205574915,1.0878048780487803,-0.023981309249553773,0.8010204081632653,0.15438583181022864,0.404435863343563,-0.16318620471444387,0.3304167932016412,0.5051020408163266,0.009795918367346938,1.0,1.6157218097983383,0.009904735668252396,0.15272510480063498,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0035006282686303,1.0,-0.026246627769614728,0.8367346938775511,0.4789595188812847,0.6913280004098347,-0.2299082423667141,0.0939149715187268,0.5918367346938775,0.009795918367346938,1.0,0.7906635454108182,0.01486273097337218,0.19045265969761765,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.003835408873526,1.017094017094017,-0.025150247782590784,0.9591836734693877,0.35210549086622805,0.7824433713325916,-0.26384274640088595,0.11195603476411954,0.7908163265306123,0.009795918367346938,1.0,1.6739766223141834,0.009906045283042246,0.27051020695313976,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0016835016835017,1.0278884462151394,-0.011445649344611786,0.9797979797979798,0.2266046136300519,0.21417392899445126,-0.1473651241093102,0.9447242737831044,0.5580808080808081,0.004949494949494949,1.0,1.0648830448252895,0.0034839334588301417,0.13569381718316678,0.5,0.5,0.5,0.0,0.0,1.0
0.04,1.0086889194769442,1.0949367088607593,-0.05442065332121415,0.9010416666666666,0.1258246654954079,0.6029145002578973,-0.1581341515934539,0.5731425257915514,0.484375,0.019583333333333335,1.0,2.0403327872226797,0.0035377386040605944,0.18017422963129898,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0019349913901758,1.0184049079754602,-0.01231731202623143,0.9292929292929293,0.3196288137042656,0.49108821212498643,-0.2688121525330828,0.13602889286853495,0.8055555555555556,0.0048484848484848485,1.0,0.9445435888934437,0.0,0.24303735644703336,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0033158992240114,1.0,-0.02061861951568622,0.75,0.31214447570756826,0.6889237389964795,-0.27311079470547917,0.2837076966339189,0.548469387755102,0.01,1.0,1.4417941231830211,0.0,0.24232437848888377,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0023641358383844,1.0431654676258995,-0.0224255334246517,0.8316326530612245,0.18794640256470913,0.36541932131293176,-0.14660127616938248,0.7025452296327664,0.4540816326530612,0.009795918367346938,1.0,1.2903997349574756,0.004952308319058247,0.15225800329430395,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0016627256042483,1.020979020979021,-0.012927485726266008,0.8080808080808081,0.3251415601804589,0.3922896725497349,-0.21725001957560092,0.5100626564954063,0.5808080808080809,0.004747474747474748,1.0,0.8373555969066367,0.005227706526101351,0.16232118165434906,0.5,0.5,0.5,0.0,0.0,1.0
0.04,1.0084606231667492,1.0706521739130435,-0.053173054183040636,0.7786458333333333,0.5987830146109897,1.069289057337327,-0.23355404823428083,0.07982857409256434,0.4583333333333333,0.02,1.0,2.323458204050527,0.0,0.18418846784887943,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.00449354053548,1.0335195530726253,-0.027958587746077734,0.9693877551020408,0.21105300893789075,0.5973768504347066,-0.2181616832779623,0.2783441360459046,0.6530612244897959,0.009795918367346938,1.0,1.6387455912987923,0.004954139389439932,0.24867062504991294,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.002223582868744,1.0157068062827226,-0.014396931028382465,0.8383838383838383,0.04656947945280436,0.027342889428293587,0.020123717798136376,0.7288181825479093,0.5883838383838383,0.004646464646464647,1.0,0.63621133693977,0.0,0.05848008441201481,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0049198448189915,1.1719745222929934,-0.03597989020105863,0.8075601374570447,0.12641622439047778,0.5214704582295675,-0.15933651224948278,0.2249980772948812,0.493127147766323,0.014845360824742268,1.0,1.6954620357427357,0.0,0.1596363288374932,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0019146142202708,1.01195219123506,-0.011961760548318878,0.9191919191919192,0.324163425116139,0.5141836052105031,-0.3093466969435961,0.12715070756054941,0.7752525252525253,0.004747474747474748,1.0,0.63621133693977,0.0034853577209311573,0.2728558042673625,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0022002030163908,1.0292887029288704,-0.012734731001298516,0.9494949494949495,0.21059101404965425,0.210995196898218,-0.13987419413776,0.9034411292330039,0.553030303030303,0.004949494949494949,1.0,0.7579911867457538,0.0,0.12943161350714488,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0025454383066137,1.0689655172413794,-0.023947032919565903,0.9387755102040817,0.07080106857134474,0.1515091044845859,-0.06665611981226602,0.8340501198288209,0.49489795918367346,0.009591836734693878,1.0,1.5281031308267452,0.007432013545226847,0.10612287933185566,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0034815057031292,1.0327868852459015,-0.027496318658205787,0.6989795918367346,0.34693053205131047,0.5120296309777363,-0.18185413700363875,0.3065229246891431,0.423469387755102,0.009591836734693878,1.0,1.283306500902941,0.00990902361328087,0.14554336751274133,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0015251566774792,1.0093457943925235,-0.010774248975790934,0.9494949494949495,0.3849271907203625,0.5989923764568822,-0.30963380575783667,0.11075343763227546,0.7954545454545454,0.0048484848484848485,1.0,0.63621133693977,0.0,0.2720576611776256,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0056946671993667,1.0,-0.04278483804312594,0.8247422680412371,0.08380563291533775,0.01791485943886166,-0.007121482547040037,0.6201612208595242,0.46821305841924393,0.014536082474226804,1.0,1.7889702190030137,0.015247202596333479,0.03841617995577677,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0015967232462077,1.0275229357798163,-0.011283023048398011,0.8484848484848484,0.0318080138632639,0.0013791507071583887,-0.0010309816511366865,0.8759971262014744,0.5757575757575757,0.004949494949494949,1.0,0.9899060111770472,0.003484687262394078,0.052903427052653496,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0018691226744918,1.0,-0.011704136182237534,0.9898989898989898,0.06177490312900742,0.23325749806971102,-0.1552997677028685,0.9034009887364911,0.6363636363636362,0.0048484848484848485,1.0,0.27474331362797155,0.0017420923361640996,0.20916864213545078,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0016652241472686,1.0344827586206897,-0.011546191563014174,0.9393939393939393,0.19270637409801553,0.20468478815823576,-0.13676819878370275,0.8624094278564098,0.5555555555555556,0.004949494949494949,1.0,0.7125734613239687,0.0017424431321942265,0.1260176241519226,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0047538676906136,1.008438818565401,-0.025774783228812992,0.5408163265306122,0.1874071326934327,0.21260972216888033,-0.10567948109476352,0.9019592224051375,0.3903061224489796,0.01,1.0,1.4350439373658717,0.0,0.07730759554890365,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.0029772072819565,1.0246913580246912,-0.020643221006099055,0.8418367346938777,0.22302786287328769,0.44995081752362176,-0.17186099245899902,0.5297619447025106,0.5153061224489797,0.01,1.0,1.4141188230282618,0.0,0.17633196528037176,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0018297952789934,1.129251700680272,-0.013089853193892331,0.9393939393939393,0.21116068376136676,0.24012846979738323,-0.15614804374494315,0.9034411292330039,0.5555555555555556,0.004747474747474748,1.0,0.8878966513328121,0.0017427469775575073,0.13641942374074956,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0021409299032022,1.0248756218905473,-0.013063679556139407,0.9393939393939394,0.21618451859063298,0.22266237568456346,-0.14508130399603267,0.9309368622959596,0.5429292929292929,0.004949494949494949,1.0,1.0707202708381016,0.0,0.13008613455645263,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.0019099956438695,1.0,-0.013977939617671131,0.9797979797979798,0.014549472108979004,0.1240039416581015,-0.08354866494401372,0.8488019606079827,0.6439393939393939,0.0048484848484848485,1.0,0.366446264020569,0.003484394058426485,0.16673871267232449,0.5,0.5,0.5,0.0,0.0,1.0
0.01,1.001371108132674,1.0101010101010102,-0.011017268781926992,0.9191919191919192,0.2616029984784062,0.47026640235387973,-0.25580090308772474,0.38593890063663494,0.7449494949494949,0.004949494949494949,1.0,0.16144054210901215,0.003484142799638076,0.2622318218916334,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.005887122600691,1.0149253731343282,-0.038842941613161486,0.9312714776632303,0.23478717014381845,0.7354920304552186,-0.21789783070051594,0.16921597355201368,0.5627147766323024,0.014845360824742268,1.0,1.883191585194,0.006096223833414626,0.23096554749688739,0.5,0.5,0.5,0.0,0.0,1.0
0.02,1.020408163265306,1.0,-0.03221859068915722,0.8826530612244898,0.3769463686287475,0.029845510771805694,0.019274376417233507,0.8031420097913425,0.673469387755102,0.008979591836734694,1.0,1.5305595935602438,0.12154758277440131,0.2695578231292517,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0309278350515465,1.0,-0.04957287843660063,0.6838487972508591,0.41271457177374554,0.5334454467524447,0.19740358915616651,0.19618662338441162,0.35738831615120276,0.014536082474226804,1.0,1.6309824629246679,0.1577243076563441,0.14203894616265753,0.5,0.5,0.5,0.0,0.0,1.0
0.06,1.0638297872340423,1.125,-0.09526055989487092,0.6179078014184397,0.38102638805319755,0.4623474537376107,-0.1268715524034672,0.49113735542664094,0.23049645390070922,0.0274468085106383,1.0,2.0355647256920273,0.20904450960268084,0.0716115051221434,0.6118111559139785,0.5724966397849462,0.42699932795698925,0.03931451612903225,0.18481182795698925,1.0
0.03,1.0309278350515463,1.0,-0.045900379601007346,0.8316151202749141,0.9558184983871821,0.8735381758726175,-0.27605956471935855,0.10863467804596662,0.2809278350515464,0.011443298969072166,1.0,1.998057025252772,0.13035736709093954,0.11111111111111112,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0309278350515463,1.103448275862069,-0.04696449750470988,0.7938144329896907,0.10488671106738338,0.1926836305574976,-0.08438335242458955,0.4595569218911074,0.3316151202749141,0.013298969072164948,1.0,1.4407810890216577,0.14624368848198932,0.11082474226804123,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0309278350515463,1.0,-0.04628041711309194,0.7594501718213058,0.32970854122983373,0.11580891742729325,0.051164566628484176,0.8938026277666806,0.2809278350515464,0.011443298969072166,1.0,1.6410162688571808,0.13059396528653558,0.11092019854906454,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0309278350515465,1.0,-0.04770907816115033,0.8144329896907218,0.3609881906199498,0.0677065231595484,-0.03512791141657118,1.0,0.4338487972508591,0.013608247422680412,1.0,2.0847430151699466,0.14841532387785283,0.12466590301641847,0.5,0.5,0.5,0.0,0.0,1.0
0.03,1.0309278350515465,1.0,-0.046352996436147764,0.7250859106529209,0.13103677772180897,0.39248361894412315,-0.1569301260022909,0.45465802643892317,0.36082474226804123,0.010824742268041237,1.0,1.953229791915835,0.12544108865493275,0.18193967163039326,0.5,0.5,0.5,0.0,0.0,1.0
