sample_idx,y_true,modelo,pred_baseline,conf_baseline,pred_llm,pred_ensemble,switched_to_llm,group
37,0,RandomForest,0,0.7575,0,0,False,MCAR_breastcancer_barenuclei
38,0,RandomForest,0,0.6225,0,0,False,MCAR_breastcancer_barenuclei
39,0,RandomForest,0,0.7,0,0,False,MCAR_breastcancer_barenuclei
40,0,RandomForest,0,0.745,0,0,False,MCAR_breastcancer_barenuclei
41,0,RandomForest,0,0.76,0,0,False,MCAR_breastcancer_barenuclei
42,0,RandomForest,0,0.715,0,0,False,MCAR_breastcancer_barenuclei
43,0,RandomForest,0,0.7425,0,0,False,MCAR_breastcancer_barenuclei
44,0,RandomForest,0,0.815,0,0,False,MCAR_breastcancer_barenuclei
45,0,RandomForest,0,0.7825,0,0,False,MCAR_breastcancer_barenuclei
46,0,RandomForest,0,0.765,0,0,False,MCAR_breastcancer_barenuclei
47,0,RandomForest,0,0.7925,0,0,False,MCAR_breastcancer_barenuclei
48,0,RandomForest,0,0.7325,0,0,False,MCAR_breastcancer_barenuclei
49,0,RandomForest,0,0.8025,0,0,False,MCAR_breastcancer_barenuclei
50,0,RandomForest,0,0.93,0,0,False,MCAR_breastcancer_barenuclei
51,0,RandomForest,0,0.68,0,0,False,MCAR_breastcancer_barenuclei
52,0,RandomForest,0,0.685,0,0,False,MCAR_breastcancer_barenuclei
53,0,RandomForest,0,0.9125,0,0,False,MCAR_breastcancer_barenuclei
54,0,RandomForest,0,0.84,0,0,False,MCAR_breastcancer_barenuclei
55,0,RandomForest,0,0.725,0,0,False,MCAR_breastcancer_barenuclei
56,0,RandomForest,0,0.815,0,0,False,MCAR_breastcancer_barenuclei
57,0,RandomForest,0,0.88,0,0,False,MCAR_breastcancer_barenuclei
58,0,RandomForest,0,0.6175,0,0,False,MCAR_breastcancer_barenuclei
59,0,RandomForest,0,0.93,0,0,False,MCAR_breastcancer_barenuclei
60,0,RandomForest,0,0.6425,0,0,False,MCAR_breastcancer_barenuclei
61,0,RandomForest,0,0.845,0,0,False,MCAR_breastcancer_barenuclei
62,0,RandomForest,0,0.8125,0,0,False,MCAR_breastcancer_barenuclei
63,0,RandomForest,0,0.6975,0,0,False,MCAR_breastcancer_barenuclei
64,0,RandomForest,0,0.58,0,0,True,MCAR_breastcancer_barenuclei
65,0,RandomForest,0,0.7975,0,0,False,MCAR_breastcancer_barenuclei
66,0,RandomForest,0,0.7075,0,0,False,MCAR_breastcancer_barenuclei
67,0,RandomForest,0,0.945,0,0,False,MCAR_breastcancer_barenuclei
68,0,RandomForest,0,0.7175,0,0,False,MCAR_breastcancer_barenuclei
69,0,RandomForest,0,0.77,0,0,False,MCAR_breastcancer_barenuclei
70,0,RandomForest,0,0.7075,0,0,False,MCAR_breastcancer_barenuclei
71,0,RandomForest,0,0.725,0,0,False,MCAR_breastcancer_barenuclei
72,0,RandomForest,0,0.83,0,0,False,MCAR_breastcancer_barenuclei
73,0,RandomForest,0,0.815,0,0,False,MCAR_breastcancer_barenuclei
74,0,RandomForest,2,0.465,2,2,True,MCAR_breastcancer_barenuclei
75,0,RandomForest,0,0.7,0,0,False,MCAR_breastcancer_barenuclei
76,0,RandomForest,0,0.8225,0,0,False,MCAR_breastcancer_barenuclei
77,0,RandomForest,0,0.625,0,0,False,MCAR_breastcancer_barenuclei
78,0,RandomForest,0,0.6525,0,0,False,MCAR_breastcancer_barenuclei
79,0,RandomForest,0,0.7,0,0,False,MCAR_breastcancer_barenuclei
80,0,RandomForest,0,0.83,0,0,False,MCAR_breastcancer_barenuclei
81,0,RandomForest,0,0.8125,0,0,False,MCAR_breastcancer_barenuclei
182,0,RandomForest,1,0.745,1,1,False,MCAR_hypothyroid_t4u
183,0,RandomForest,1,0.695,1,1,False,MCAR_hypothyroid_t4u
184,0,RandomForest,1,0.64,1,1,False,MCAR_hypothyroid_t4u
185,0,RandomForest,1,0.705,1,1,False,MCAR_hypothyroid_t4u
186,0,RandomForest,1,0.735,1,1,False,MCAR_hypothyroid_t4u
187,0,RandomForest,1,0.55,1,1,True,MCAR_hypothyroid_t4u
188,0,RandomForest,1,0.9125,1,1,False,MCAR_hypothyroid_t4u
189,0,RandomForest,1,0.7575,1,1,False,MCAR_hypothyroid_t4u
190,0,RandomForest,1,0.845,1,1,False,MCAR_hypothyroid_t4u
191,0,RandomForest,1,0.8825,1,1,False,MCAR_hypothyroid_t4u
192,0,RandomForest,1,0.7,1,1,False,MCAR_hypothyroid_t4u
193,0,RandomForest,1,0.675,1,1,False,MCAR_hypothyroid_t4u
194,0,RandomForest,1,0.88,1,1,False,MCAR_hypothyroid_t4u
195,0,RandomForest,1,0.72,1,1,False,MCAR_hypothyroid_t4u
196,0,RandomForest,1,0.7225,1,1,False,MCAR_hypothyroid_t4u
197,0,RandomForest,1,0.8475,1,1,False,MCAR_hypothyroid_t4u
198,0,RandomForest,1,0.7875,1,1,False,MCAR_hypothyroid_t4u
199,0,RandomForest,1,0.775,1,1,False,MCAR_hypothyroid_t4u
200,0,RandomForest,1,0.7975,1,1,False,MCAR_hypothyroid_t4u
201,0,RandomForest,1,0.91,1,1,False,MCAR_hypothyroid_t4u
202,0,RandomForest,1,0.7875,1,1,False,MCAR_hypothyroid_t4u
203,0,RandomForest,1,0.835,1,1,False,MCAR_hypothyroid_t4u
204,0,RandomForest,1,0.6725,1,1,False,MCAR_hypothyroid_t4u
205,0,RandomForest,1,0.4975,1,1,True,MCAR_hypothyroid_t4u
206,0,RandomForest,1,0.785,1,1,False,MCAR_hypothyroid_t4u
207,0,RandomForest,1,0.845,1,1,False,MCAR_hypothyroid_t4u
208,0,RandomForest,1,0.735,1,1,False,MCAR_hypothyroid_t4u
209,0,RandomForest,1,0.71,1,1,False,MCAR_hypothyroid_t4u
210,0,RandomForest,1,0.7175,1,1,False,MCAR_hypothyroid_t4u
211,0,RandomForest,1,0.7875,1,1,False,MCAR_hypothyroid_t4u
212,0,RandomForest,1,0.83,1,1,False,MCAR_hypothyroid_t4u
213,0,RandomForest,1,0.7175,1,1,False,MCAR_hypothyroid_t4u
214,0,RandomForest,1,0.7575,1,1,False,MCAR_hypothyroid_t4u
215,0,RandomForest,1,0.67,1,1,False,MCAR_hypothyroid_t4u
216,0,RandomForest,1,0.89,1,1,False,MCAR_hypothyroid_t4u
217,0,RandomForest,1,0.7725,1,1,False,MCAR_hypothyroid_t4u
218,0,RandomForest,1,0.84,1,1,False,MCAR_hypothyroid_t4u
219,0,RandomForest,1,0.725,1,1,False,MCAR_hypothyroid_t4u
220,0,RandomForest,1,0.83,1,1,False,MCAR_hypothyroid_t4u
221,0,RandomForest,1,0.835,1,1,False,MCAR_hypothyroid_t4u
222,0,RandomForest,1,0.8325,1,1,False,MCAR_hypothyroid_t4u
223,0,RandomForest,1,0.6075,1,1,False,MCAR_hypothyroid_t4u
224,0,RandomForest,1,0.94,1,1,False,MCAR_hypothyroid_t4u
225,0,RandomForest,1,0.795,1,1,False,MCAR_hypothyroid_t4u
226,0,RandomForest,1,0.7275,1,1,False,MCAR_hypothyroid_t4u
227,0,RandomForest,1,0.6625,1,1,False,MCAR_hypothyroid_t4u
228,0,RandomForest,1,0.745,1,1,False,MCAR_hypothyroid_t4u
229,0,RandomForest,2,0.565,2,2,True,MCAR_hypothyroid_t4u
230,0,RandomForest,1,0.745,1,1,False,MCAR_hypothyroid_t4u
231,0,RandomForest,1,0.7075,1,1,False,MCAR_hypothyroid_t4u
232,1,RandomForest,2,0.8525,2,2,False,MAR_airquality_ozone
233,1,RandomForest,2,0.625,2,2,False,MAR_airquality_ozone
234,1,RandomForest,1,0.5575,1,1,True,MAR_airquality_ozone
235,1,RandomForest,2,0.7625,2,2,False,MAR_airquality_ozone
236,1,RandomForest,2,0.5925,2,2,True,MAR_airquality_ozone
237,1,RandomForest,2,0.5525,2,2,True,MAR_airquality_ozone
238,1,RandomForest,2,0.5925,2,2,True,MAR_airquality_ozone
