modelo,fold,score
RandomForest,0,0.436
RandomForest,1,0.7224489795918367
RandomForest,2,0.33755274261603374
RandomForest,3,0.31
RandomForest,4,0.27
GradientBoosting,0,0.496
GradientBoosting,1,0.636734693877551
GradientBoosting,2,0.3459915611814346
GradientBoosting,3,0.26
GradientBoosting,4,0.26
LogisticRegression,0,0.388
LogisticRegression,1,0.6775510204081633
LogisticRegression,2,0.4430379746835443
LogisticRegression,3,0.215
LogisticRegression,4,0.235
SVM_RBF,0,0.364
SVM_RBF,1,0.7387755102040816
SVM_RBF,2,0.2911392405063291
SVM_RBF,3,0.32
SVM_RBF,4,0.28
KNN,0,0.344
KNN,1,0.6775510204081633
KNN,2,0.34177215189873417
KNN,3,0.36
KNN,4,0.32
MLP,0,0.392
MLP,1,0.6653061224489796
MLP,2,0.31645569620253167
MLP,3,0.305
MLP,4,0.275
NaiveBayes,0,0.552
NaiveBayes,1,0.763265306122449
NaiveBayes,2,0.45569620253164556
NaiveBayes,3,0.28
NaiveBayes,4,0.315
