modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.9361702127659575,0.4631578947368421,0.6197183098591549,95
RandomForest,MAR,0.43243243243243246,0.4266666666666667,0.42953020134228187,150
RandomForest,MNAR,0.14,0.28,0.18666666666666668,50
GradientBoosting,MCAR,0.9565217391304348,0.4631578947368421,0.624113475177305,95
GradientBoosting,MAR,0.38571428571428573,0.36,0.3724137931034483,150
GradientBoosting,MNAR,0.11926605504587157,0.26,0.16352201257861634,50
LogisticRegression,MCAR,0.9024390243902439,0.3894736842105263,0.5441176470588235,95
LogisticRegression,MAR,0.3620689655172414,0.28,0.3157894736842105,150
LogisticRegression,MNAR,0.028985507246376812,0.08,0.0425531914893617,50
SVM_RBF,MCAR,0.6909090909090909,0.4,0.5066666666666667,95
SVM_RBF,MAR,0.5,0.44,0.46808510638297873,150
SVM_RBF,MNAR,0.12962962962962962,0.28,0.17721518987341772,50
KNN,MCAR,0.6103896103896104,0.49473684210526314,0.5465116279069767,95
KNN,MAR,0.5535714285714286,0.41333333333333333,0.4732824427480916,150
KNN,MNAR,0.1792452830188679,0.38,0.24358974358974358,50
MLP,MCAR,0.7884615384615384,0.43157894736842106,0.5578231292517006,95
MLP,MAR,0.4810126582278481,0.5066666666666667,0.4935064935064935,150
MLP,MNAR,0.12941176470588237,0.22,0.16296296296296298,50
NaiveBayes,MCAR,1.0,0.4105263157894737,0.582089552238806,95
NaiveBayes,MAR,0.6041666666666666,0.38666666666666666,0.4715447154471545,150
NaiveBayes,MNAR,0.15625,0.5,0.23809523809523808,50
