arquivo,rotulo_atual,n_rows,missing_rate,little_p,max_corr_Xi,corr_col,mar_p_min,ks_stat,ks_p,diagnostico,rotulo_recomendado
MCAR_autompg_horsepower.txt,MCAR,398,0.0151,0.431108,-0.0817,X4,0.103767,0.0075,1.0,CONSISTENTE: MCAR confirmado,MCAR
MCAR_breastcancer_barenuclei.txt,MCAR,699,0.0229,0.275526,-0.0567,X1,0.134095,0.0094,1.0,CONSISTENTE: MCAR confirmado,MCAR
MCAR_cylinderbands_bladepressure.txt,MCAR,540,0.1,8.7e-05,-0.1637,X1,0.000133,0.0442,0.678467,INCONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MCAR_cylinderbands_esavoltage.txt,MCAR,540,0.1,0.135413,0.0868,X2,0.043896,0.0337,0.921154,CONSISTENTE: MCAR confirmado,MCAR
MCAR_hypothyroid_t4u.txt,MCAR,3772,0.0999,0.0,-0.0826,X1,0.0,0.0499,0.000263,INCONSISTENTE: Possivelmente MNAR (rejeita MCAR + KS significativo),MNAR
MAR_airquality_ozone.txt,MAR,153,0.098,0.308818,-0.1541,X4,0.057112,0.049,0.989853,INCONSISTENTE: MCAR confirmado,MCAR
MAR_colic_resprate.txt,MAR,368,0.0978,0.615433,0.0745,X2,0.153688,0.0489,0.772458,INCONSISTENTE: MCAR confirmado,MCAR
MAR_hearth_chol.txt,MAR,294,0.0782,0.600409,-0.0835,X4,0.153298,0.039,0.974874,INCONSISTENTE: MCAR confirmado,MCAR
MAR_kidney_hemo.txt,MAR,400,0.1,0.513871,0.0797,X1,0.111478,0.05,0.707627,INCONSISTENTE: MCAR confirmado,MCAR
MAR_mammographic_density.txt,MAR,886,0.0632,0.001804,-0.1261,X4,0.000167,0.0316,0.768443,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_oceanbuoys_airtemp.txt,MAR,736,0.0992,0.0,0.333,X1,0.0,0.0495,0.34422,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_oceanbuoys_humidity.txt,MAR,736,0.0992,0.0,-0.333,X1,0.0,0.0491,0.354972,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_sick_t3.txt,MAR,3772,0.0999,0.00651,-0.0558,X1,0.000605,0.0484,0.000438,INCONSISTENTE: Possivelmente MNAR (rejeita MCAR + KS significativo),MNAR
MAR_sick_tsh.txt,MAR,3772,0.0978,0.0,-0.105,X1,0.0,0.0484,0.000432,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_titanic_age.txt,MAR,891,0.0999,6.2e-05,0.1323,X1,7.5e-05,0.0489,0.252806,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_titanic_age_v2.txt,MAR,891,0.0999,0.000848,-0.0974,X3,0.003615,0.0487,0.258072,CONSISTENTE: Ambiguo (testes conflitantes),MAR
MNAR_adult_capitalgain.txt,MNAR,1000,0.1,0.656572,-0.0333,X2,0.292459,0.0432,0.327901,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_colic_refluxph.txt,MNAR,368,0.0978,0.293319,-0.1013,X2,0.052279,0.0486,0.77862,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_cylinderbands_varnishpct.txt,MNAR,540,0.1,0.005381,0.1349,X2,0.001675,0.0498,0.530448,INCONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MNAR_kidney_pot.txt,MNAR,400,0.1,0.181513,-0.0814,X4,0.103838,0.0483,0.745507,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_kidney_sod.txt,MNAR,400,0.1,0.149495,0.0746,X2,0.136215,0.0486,0.739258,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_mroz_wages.txt,MNAR,753,0.0996,0.021503,0.0861,X3,0.018063,0.0497,0.328061,CONSISTENTE: Ambiguo (testes conflitantes),MNAR
MNAR_pima_insulin.txt,MNAR,768,0.099,0.900567,-0.0267,X3,0.459972,0.0488,0.337549,INCONSISTENTE: MCAR confirmado,MCAR
