modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.5423728813559322,0.4507042253521127,0.49230769230769234,71
RandomForest,MAR,0.9444444444444444,0.9153846153846154,0.9296875,130
RandomForest,MNAR,0.6086956521739131,0.7070707070707071,0.6542056074766355,99
GradientBoosting,MCAR,0.52,0.5492957746478874,0.5342465753424658,71
GradientBoosting,MAR,0.9457364341085271,0.9384615384615385,0.9420849420849421,130
GradientBoosting,MNAR,0.6354166666666666,0.6161616161616161,0.6256410256410256,99
LogisticRegression,MCAR,0.5409836065573771,0.4647887323943662,0.5,71
LogisticRegression,MAR,0.9029850746268657,0.9307692307692308,0.9166666666666666,130
LogisticRegression,MNAR,0.6190476190476191,0.6565656565656566,0.6372549019607843,99
SVM_RBF,MCAR,0.5555555555555556,0.49295774647887325,0.5223880597014925,71
SVM_RBF,MAR,0.90625,0.8923076923076924,0.8992248062015504,130
SVM_RBF,MNAR,0.6605504587155964,0.7272727272727273,0.6923076923076923,99
KNN,MCAR,0.4222222222222222,0.5352112676056338,0.4720496894409938,71
KNN,MAR,0.8809523809523809,0.8538461538461538,0.8671875,130
KNN,MNAR,0.6071428571428571,0.5151515151515151,0.5573770491803278,99
MLP,MCAR,0.5416666666666666,0.5492957746478874,0.5454545454545454,71
MLP,MAR,0.9147286821705426,0.9076923076923077,0.9111969111969112,130
MLP,MNAR,0.6565656565656566,0.6565656565656566,0.6565656565656566,99
NaiveBayes,MCAR,0.4520547945205479,0.4647887323943662,0.4583333333333333,71
NaiveBayes,MAR,0.9553571428571429,0.823076923076923,0.8842975206611571,130
NaiveBayes,MNAR,0.6521739130434783,0.7575757575757576,0.7009345794392523,99
