th_cs,th_ce,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std
0.05,0.03,0.4102,0.1352,0.2183,0.0437
0.05,0.06,0.4199,0.1363,0.2375,0.0562
0.05,0.09,0.4362,0.1398,0.2658,0.0902
0.05,0.12,0.451,0.1467,0.2867,0.1127
0.05,0.15,0.4547,0.1439,0.2971,0.1147
0.05,0.18,0.4689,0.1524,0.315,0.1273
0.05,0.21,0.4821,0.13,0.3301,0.1139
0.05,0.24,0.496,0.1181,0.3435,0.1057
0.05,0.27,0.5039,0.1112,0.3535,0.0969
0.05,0.3,0.5122,0.1053,0.3637,0.0893
0.05,0.33,0.5143,0.0775,0.365,0.0725
0.05,0.36,0.5254,0.0804,0.3699,0.0703
0.05,0.39,0.525,0.0833,0.3639,0.0683
0.05,0.42,0.5225,0.1069,0.3565,0.0762
0.05,0.45,0.5241,0.1229,0.3497,0.0829
0.1,0.03,0.4129,0.1319,0.2203,0.0469
0.1,0.06,0.4226,0.133,0.2396,0.0582
0.1,0.09,0.4389,0.137,0.2678,0.0915
0.1,0.12,0.4537,0.1453,0.2888,0.1143
0.1,0.15,0.4574,0.1435,0.2993,0.1166
0.1,0.18,0.4716,0.153,0.3173,0.1293
0.1,0.21,0.4848,0.1317,0.3327,0.1165
0.1,0.24,0.5,0.1205,0.3469,0.1085
0.1,0.27,0.5079,0.1153,0.3572,0.1005
0.1,0.3,0.5176,0.1093,0.3682,0.0926
0.1,0.33,0.5183,0.0857,0.3688,0.0779
0.1,0.36,0.5294,0.0905,0.3739,0.0767
0.1,0.39,0.529,0.0945,0.3679,0.0759
0.1,0.42,0.5265,0.1177,0.3606,0.0842
0.1,0.45,0.5281,0.1334,0.3538,0.091
0.15,0.03,0.4148,0.1302,0.2215,0.0489
0.15,0.06,0.4245,0.1312,0.2408,0.0596
0.15,0.09,0.4408,0.1354,0.2691,0.0923
0.15,0.12,0.4556,0.1444,0.2903,0.1153
0.15,0.15,0.4593,0.1431,0.3008,0.1179
0.15,0.18,0.4734,0.1533,0.3189,0.1306
0.15,0.21,0.4867,0.1325,0.3343,0.118
0.15,0.24,0.5019,0.123,0.3486,0.1109
0.15,0.27,0.5098,0.1188,0.3588,0.1033
0.15,0.3,0.5195,0.1131,0.3698,0.0956
0.15,0.33,0.5202,0.0914,0.3703,0.0819
0.15,0.36,0.5312,0.0969,0.3754,0.0812
0.15,0.39,0.5322,0.1008,0.3705,0.0801
0.15,0.42,0.5297,0.1239,0.3632,0.0886
0.15,0.45,0.5314,0.1395,0.3565,0.0955
0.2,0.03,0.4144,0.1339,0.2274,0.0561
0.2,0.06,0.4231,0.1345,0.2444,0.0678
0.2,0.09,0.4394,0.1398,0.2735,0.1028
0.2,0.12,0.4555,0.1488,0.2956,0.1261
0.2,0.15,0.4592,0.1485,0.3066,0.1289
0.2,0.18,0.4734,0.1597,0.3252,0.1425
0.2,0.21,0.4866,0.14,0.3408,0.1302
0.2,0.24,0.5032,0.1313,0.3559,0.1221
0.2,0.27,0.5097,0.1303,0.3651,0.1153
0.2,0.3,0.5209,0.1206,0.3775,0.1048
0.2,0.33,0.5204,0.0996,0.3773,0.09
0.2,0.36,0.5327,0.1025,0.3837,0.0868
0.2,0.39,0.5337,0.1052,0.379,0.0846
0.2,0.42,0.5311,0.1275,0.3717,0.0921
0.2,0.45,0.5328,0.1425,0.365,0.0983
0.25,0.03,0.4116,0.1204,0.2303,0.0598
0.25,0.06,0.418,0.1214,0.2435,0.0705
0.25,0.09,0.4343,0.1279,0.2735,0.1061
0.25,0.12,0.4504,0.1395,0.2962,0.1305
0.25,0.15,0.4541,0.1412,0.3075,0.1337
0.25,0.18,0.4659,0.1546,0.3247,0.1475
0.25,0.21,0.4802,0.139,0.3415,0.1372
0.25,0.24,0.4967,0.1357,0.3569,0.1303
0.25,0.27,0.5036,0.137,0.3661,0.1231
0.25,0.3,0.5148,0.1279,0.3788,0.1123
0.25,0.33,0.5205,0.1136,0.3823,0.0986
0.25,0.36,0.5329,0.1204,0.3886,0.0965
0.25,0.39,0.5348,0.1233,0.3845,0.0952
0.25,0.42,0.5323,0.145,0.3771,0.1028
0.25,0.45,0.5316,0.1576,0.3692,0.1087
0.3,0.03,0.3982,0.1229,0.2295,0.0672
0.3,0.06,0.4046,0.1247,0.2428,0.0796
0.3,0.09,0.4199,0.1328,0.2712,0.1141
0.3,0.12,0.4364,0.1441,0.2937,0.1368
0.3,0.15,0.4401,0.1474,0.3053,0.1406
0.3,0.18,0.4532,0.1634,0.3239,0.1557
0.3,0.21,0.4664,0.1488,0.3395,0.1454
0.3,0.24,0.4805,0.1484,0.3532,0.139
0.3,0.27,0.4874,0.1498,0.3625,0.1315
0.3,0.3,0.4956,0.1429,0.3723,0.1233
0.3,0.33,0.501,0.1314,0.3754,0.111
0.3,0.36,0.5133,0.138,0.3816,0.1086
0.3,0.39,0.5166,0.1398,0.378,0.1064
0.3,0.42,0.5168,0.1585,0.3717,0.1125
0.3,0.45,0.5174,0.1688,0.3657,0.1157
0.35,0.03,0.3685,0.1239,0.2244,0.0771
0.35,0.06,0.3736,0.1281,0.2361,0.093
0.35,0.09,0.3888,0.1393,0.264,0.13
0.35,0.12,0.4043,0.1534,0.2857,0.1528
0.35,0.15,0.4092,0.1577,0.2977,0.1567
0.35,0.18,0.4227,0.1724,0.3164,0.1695
0.35,0.21,0.4358,0.1616,0.3327,0.1606
0.35,0.24,0.4499,0.1633,0.3463,0.1542
0.35,0.27,0.4556,0.1625,0.3535,0.1448
0.35,0.3,0.4561,0.158,0.3558,0.1388
0.35,0.33,0.4588,0.1497,0.3564,0.1274
0.35,0.36,0.4735,0.1558,0.3651,0.1235
0.35,0.39,0.477,0.1572,0.3617,0.1203
0.35,0.42,0.4787,0.168,0.3571,0.1222
0.35,0.45,0.4806,0.1762,0.3529,0.1222
0.4,0.03,0.3373,0.1262,0.216,0.0797
0.4,0.06,0.3424,0.1311,0.2278,0.0962
0.4,0.09,0.3545,0.1417,0.2517,0.1301
0.4,0.12,0.3689,0.1563,0.2725,0.1517
0.4,0.15,0.3752,0.1621,0.2852,0.156
0.4,0.18,0.3864,0.1762,0.301,0.1684
0.4,0.21,0.4047,0.1653,0.3205,0.1595
0.4,0.24,0.414,0.1667,0.3286,0.1542
0.4,0.27,0.417,0.1669,0.3331,0.1462
0.4,0.3,0.4191,0.1627,0.3359,0.1396
0.4,0.33,0.4217,0.1549,0.3369,0.1282
0.4,0.36,0.4337,0.1639,0.3439,0.1261
0.4,0.39,0.4373,0.1624,0.342,0.1201
0.4,0.42,0.4376,0.1727,0.3368,0.121
0.4,0.45,0.4385,0.1784,0.333,0.1193
0.45,0.03,0.3098,0.1386,0.205,0.0812
0.45,0.06,0.3139,0.1426,0.2144,0.0945
0.45,0.09,0.324,0.151,0.2356,0.124
0.45,0.12,0.3344,0.1618,0.252,0.1405
0.45,0.15,0.3397,0.1672,0.2641,0.1443
0.45,0.18,0.349,0.1773,0.2789,0.1554
0.45,0.21,0.3653,0.1656,0.2969,0.1452
0.45,0.24,0.3735,0.1694,0.3037,0.1405
0.45,0.27,0.3731,0.1694,0.3049,0.1329
0.45,0.3,0.3737,0.1664,0.3061,0.1288
0.45,0.33,0.3719,0.1626,0.3034,0.1234
0.45,0.36,0.3813,0.1619,0.3106,0.1143
0.45,0.39,0.3808,0.1606,0.3076,0.1095
0.45,0.42,0.3752,0.1652,0.298,0.1094
0.45,0.45,0.3731,0.1717,0.2933,0.1099
0.5,0.03,0.2643,0.145,0.1837,0.0778
0.5,0.06,0.2684,0.1492,0.1931,0.0914
0.5,0.09,0.2775,0.159,0.2113,0.1191
0.5,0.12,0.2861,0.1658,0.2248,0.1321
0.5,0.15,0.2903,0.171,0.2347,0.1355
0.5,0.18,0.2996,0.1833,0.2491,0.1483
0.5,0.21,0.3122,0.1772,0.2631,0.1396
0.5,0.24,0.3205,0.1834,0.27,0.1357
0.5,0.27,0.3202,0.181,0.2705,0.1281
0.5,0.3,0.3195,0.1792,0.2703,0.1251
0.5,0.33,0.3163,0.1781,0.2652,0.1226
0.5,0.36,0.3243,0.1794,0.2713,0.1165
0.5,0.39,0.3197,0.18,0.2646,0.1145
0.5,0.42,0.3211,0.1819,0.2623,0.1146
0.5,0.45,0.3193,0.1845,0.2586,0.1117
