trial,accuracy_cv,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,random_strength
0,0.8046880570409982,222,5,0.04644415417346563,0.15394523652121117,0.8527005409006208,2.5731841449704946
1,0.7952156862745098,483,8,0.008403604232781603,3.2728081246587934,0.6164929831962005,0.2133101055287638
2,0.7906327985739751,198,7,0.004930844014528923,1.1260692297322963,0.12763180551925035,5.710403556890885
3,0.7902852049910873,399,6,0.0013427955768337118,0.18302528767992882,0.41405847617479863,0.4603774327588732
4,0.7784385026737967,489,3,0.01272384874484289,0.6968308697891926,0.953044351715727,6.115709504463387
5,0.7852174688057041,62,2,0.0013937338400116285,0.2776001830932298,0.8084523458512823,0.6153988114121896
6,0.7868823529411765,416,4,0.002920117567363217,0.8505350425175444,0.6918251234793472,0.1118604864033008
7,0.7957165775401069,315,7,0.004467412275959108,1.3194359616644251,0.49269394775678355,9.653283901112346
8,0.7625347593582887,116,8,0.005207380740019895,9.208125919568273,0.7210902235387174,0.17939794345064544
9,0.7989518716577539,383,4,0.06737900364762875,4.176670633771512,0.556483214841422,0.4052696537810219
10,0.8136880570409982,230,5,0.25653913744029827,0.1290197119824459,0.9782623630666568,2.094523667109665
11,0.7992852049910874,221,5,0.24858509401672274,0.1053480257988398,0.982185240324845,2.2413457104177175
12,0.8038823529411765,258,5,0.04629123853413586,0.36584657623744543,0.8690196390713123,1.7831830652411271
13,0.8057575757575757,168,6,0.28335174913016076,0.1024051900224274,0.22651535643810083,1.8451721727245178
14,0.7897433155080213,118,6,0.29252903551427817,0.10650511559868335,0.25518259005882266,1.0757245180538106
15,0.8076185383244207,156,6,0.12478903817575858,0.3623921129348837,0.0243188790905276,1.1721647938369402
16,0.8137575757575757,308,4,0.11035966977018119,0.3811628950531741,0.035282243199542006,0.9705225728899094
17,0.8046880570409982,313,3,0.11675476146262329,0.4868557836104215,0.3510554675866961,3.4725294768160277
18,0.7942852049910873,297,4,0.024312943411044667,0.20501059748610248,0.12254081380940629,0.7036218455253821
19,0.8025490196078431,354,3,0.1022671879214659,1.6480294376529228,0.39026956292459747,3.8693252417616035
20,0.7846880570409982,263,2,0.023451684694669794,0.5671925717875222,0.0026463723237902803,1.0587376656098568
21,0.8068823529411766,152,6,0.15410168777364527,0.32560163777906337,0.007060862507767194,1.3815543999016762
22,0.7956185383244206,52,4,0.16868300105179795,0.2473559132677101,0.11683694507588821,0.773131556820678
23,0.8126880570409982,245,7,0.07347982406771109,0.42250150550738796,0.21529411824029018,1.4457087617335467
24,0.8052156862745097,242,7,0.06996441100408438,0.4976235581209816,0.25196637483684203,0.3833214244079866
25,0.8116185383244205,351,5,0.038342375053136334,0.15377376846044666,0.18822079388499638,3.426441972047342
26,0.8033547237076648,287,4,0.08162324061903797,2.4306300087393584,0.311974043075813,1.5775458238675264
27,0.8000766488413547,193,5,0.15737653526098125,0.8552107143482235,0.47399564652184256,2.4051017921155307
28,0.7969518716577539,330,7,0.19010727168382882,0.44837884194562677,0.09952095255605442,0.5489986038382485
29,0.8126880570409982,235,3,0.0425496498812819,0.16440964781460238,0.6099799861096822,0.29443383219342845
30,0.8036185383244205,447,5,0.029022954987345168,0.22912338616665281,0.1852806828381241,0.82802204627118
31,0.8130909090909091,236,3,0.057949944990835195,0.17142926382762635,0.8065094399182322,0.28016617020999
32,0.8120213903743316,216,3,0.059627102265258365,0.1436427006575171,0.9034530454218976,0.11737723841128937
33,0.8012156862745098,277,8,0.09264361656556314,0.1306521639929886,0.7893353584655752,0.24863535731812908
34,0.7866880570409982,198,4,0.013196637790691352,0.28192998546496134,0.9458375238332722,0.16435819664717707
35,0.8036880570409982,264,2,0.19624638275629844,0.658366174911252,0.7667588130125875,4.938959362771161
36,0.7942852049910873,175,3,0.05152696118473849,0.1886351537137067,0.8602767470520097,1.3751814014599262
37,0.7961604278074865,244,4,0.03375007380391184,0.37411688819766753,0.9950187846847504,2.978445015226802
38,0.8102852049910872,120,6,0.12688746355986805,0.221477952820871,0.06834814904501574,2.1257357603793823
39,0.8078966131907308,341,8,0.01830905449874372,0.290919202553793,0.9139556036980103,9.421827664934199
40,0.8095490196078432,211,5,0.08620661409578564,1.0489699300216475,0.6744824906222453,0.3114372063418193
41,0.8073547237076649,240,3,0.04116222421933258,0.1662903492064187,0.594974247767169,0.5221396475222282
42,0.8043547237076648,298,2,0.05626125530480733,0.12441852883976154,0.5580812667895879,0.2731643269630195
43,0.8134242424242425,232,3,0.2255277276840538,0.18008765316047212,0.6284951957596291,0.20845023327629025
44,0.8089518716577541,380,4,0.22415221095526264,0.18824582252938685,0.7378867547472817,0.17934242744637904
45,0.8097575757575758,185,3,0.1528143885662785,0.12211066965611396,0.6728408718813085,0.3649975832764721
46,0.8036185383244205,313,4,0.2255783727964474,0.2666762870688424,0.8150857048063759,0.1253157766030604
47,0.7909518716577539,218,5,0.007663479663789784,0.42281343895394813,0.443964876511204,0.14464029143100152
48,0.7976880570409982,270,2,0.1107615974207868,9.791456671130044,0.5390110354550374,0.9325819382759643
49,0.7885222816399287,257,3,0.001787064453379975,0.7804705813654443,0.8356622679605132,1.9103152867899236
50,0.8064099821746881,291,4,0.28771472941733234,1.3683329346309943,0.06425593195234633,0.10202927608464037
51,0.8117575757575757,232,3,0.07156531613855989,0.1596721988568658,0.6370572682446973,0.2131896950878926
52,0.8072852049910872,206,3,0.13286088791130457,7.067738561595626,0.6131030590712572,0.23133442310655886
53,0.7808823529411765,146,2,0.04664877429220164,0.20167328957261468,0.7189013765149475,0.2976819499355674
54,0.8022852049910874,235,3,0.10275249390144228,0.10503620594176054,0.31547911175468324,0.6123541388706428
55,0.8112156862745099,248,4,0.07996806515417353,0.3135201551494968,0.5162039303925395,0.20042337412627567
56,0.8086880570409981,279,7,0.20046415023111866,0.13877752329844661,0.6416886305122051,1.3433171481879358
57,0.8094242424242424,226,3,0.06578592089726658,0.16730606592830244,0.3878558080910099,0.3351423959437474
58,0.7920909090909091,170,5,0.24598998771724429,0.5435336723141091,0.18057290027335915,2.790432272215237
59,0.8072994652406417,324,2,0.15000337905694125,0.22813291112076842,0.5800359695587368,1.636726705600866
60,0.8036185383244205,303,4,0.02824057434523941,0.3758283774207911,0.48034777806482043,0.44532833881210715
61,0.8140213903743316,213,3,0.06056199169286982,0.14128640259336459,0.9395525416666717,0.12738327110095246
62,0.8059518716577541,254,3,0.03771478494972671,0.11819434744973559,0.9555796249950226,0.14856188596365566
63,0.8136880570409982,195,3,0.05484021070017947,0.15468589580996817,0.8981528615341474,0.13663697462977137
64,0.808090909090909,190,3,0.05346128399499947,0.13929599092904005,0.8998955419958172,0.1350249300408551
65,0.805951871657754,206,2,0.0965866011440101,0.2480864638393925,0.9707570585279752,0.16857441921650257
66,0.7936185383244208,153,4,0.019051275477698488,0.18486324410025234,0.8928370013192335,0.10812922818308293
67,0.8152852049910873,179,5,0.17426903451187542,0.10182452222377905,0.9392013957710073,0.19741980038150259
68,0.8025490196078431,142,5,0.1714941495313868,0.10168503511839762,0.940073584938825,0.19491431378233706
69,0.8093547237076649,126,5,0.2958403504688649,0.11660561942772059,0.8713103616466571,0.15489510413749083
70,0.7971461675579322,104,6,0.13389444893923658,0.16278547051982603,0.9255505336762222,0.22797147785532523
