comparison,modelo,hard_correct_plus_wrong,hard_wrong_plus_correct,mcnemar_chi2,mcnemar_p,significant_005
V3hard_vs_V3plus_threshold,RandomForest,0,0,0.0,1.0,False
V3hard_vs_V3plus_threshold,GradientBoosting,0,1,0.0,1.0,False
V3hard_vs_V3plus_threshold,LogisticRegression,1,1,0.5,0.47950012218695337,False
V3hard_vs_V3plus_threshold,SVM_RBF,6,0,4.166666666666667,0.041226833337163704,True
V3hard_vs_V3plus_threshold,KNN,0,1,0.0,1.0,False
V3hard_vs_V3plus_threshold,MLP,3,0,1.3333333333333333,0.24821307898992362,False
V3hard_vs_V3plus_threshold,NaiveBayes,3,7,0.9,0.3427817111479112,False
V3hard_vs_V3plus_threshold,XGBoost,1,44,39.2,3.8254022172168334e-10,True
V3hard_vs_V3plus_threshold,CatBoost,2,1,0.0,1.0,False
V3hard_vs_V3plus_soft3zone,RandomForest,10,3,2.769230769230769,0.09609232945567359,False
V3hard_vs_V3plus_soft3zone,GradientBoosting,24,0,22.041666666666668,2.6679545935826e-06,True
V3hard_vs_V3plus_soft3zone,LogisticRegression,24,3,14.814814814814815,0.00011860013866227259,True
V3hard_vs_V3plus_soft3zone,SVM_RBF,28,14,4.023809523809524,0.04486227115291497,True
V3hard_vs_V3plus_soft3zone,KNN,17,7,3.375,0.0661925797221935,False
V3hard_vs_V3plus_soft3zone,MLP,12,6,1.3888888888888888,0.23859282931643544,False
V3hard_vs_V3plus_soft3zone,NaiveBayes,26,11,5.297297297297297,0.021358540433834672,True
V3hard_vs_V3plus_soft3zone,XGBoost,84,44,11.8828125,0.0005665432545801652,True
V3hard_vs_V3plus_soft3zone,CatBoost,16,7,2.782608695652174,0.09529283802345656,False
V3hard_vs_V3plus_fullprob,RandomForest,10,3,2.769230769230769,0.09609232945567359,False
V3hard_vs_V3plus_fullprob,GradientBoosting,24,0,22.041666666666668,2.6679545935826e-06,True
V3hard_vs_V3plus_fullprob,LogisticRegression,24,3,14.814814814814815,0.00011860013866227259,True
V3hard_vs_V3plus_fullprob,SVM_RBF,28,14,4.023809523809524,0.04486227115291497,True
V3hard_vs_V3plus_fullprob,KNN,17,7,3.375,0.0661925797221935,False
V3hard_vs_V3plus_fullprob,MLP,12,6,1.3888888888888888,0.23859282931643544,False
V3hard_vs_V3plus_fullprob,NaiveBayes,26,11,5.297297297297297,0.021358540433834672,True
V3hard_vs_V3plus_fullprob,XGBoost,84,44,11.8828125,0.0005665432545801652,True
V3hard_vs_V3plus_fullprob,CatBoost,16,7,2.782608695652174,0.09529283802345656,False
