variante,modelo,accuracy,f1_macro,recall_MCAR,recall_MAR,recall_MNAR,f1_MCAR,f1_MAR,f1_MNAR,acc_level1,acc_level2
V1_direto_stat,RandomForest,0.4135593220338983,0.42402381770296577,0.4631578947368421,0.38666666666666666,0.4,0.6197183098591549,0.4084507042253521,0.24390243902439024,,
V1_direto_stat,GradientBoosting,0.3864406779661017,0.4044114282638244,0.4631578947368421,0.34,0.38,0.624113475177305,0.3655913978494624,0.2235294117647059,,
V1_direto_stat,LogisticRegression,0.2711864406779661,0.30008846652880655,0.42105263157894735,0.23333333333333334,0.1,0.5797101449275363,0.2681992337164751,0.05235602094240838,,
V1_direto_stat,SVM_RBF,0.3152542372881356,0.3129040048871273,0.3684210526315789,0.35333333333333333,0.1,0.5185185185185185,0.3569023569023569,0.06329113924050633,,
V1_direto_stat,KNN,0.376271186440678,0.36607721780135577,0.42105263157894735,0.35333333333333333,0.36,0.45977011494252873,0.4076923076923077,0.23076923076923078,,
V1_direto_stat,MLP,0.37966101694915255,0.36983217844145,0.4105263157894737,0.42,0.2,0.5571428571428572,0.41721854304635764,0.13513513513513514,,
V1_direto_stat,NaiveBayes,0.39322033898305087,0.4155251141552512,0.4,0.34,0.54,0.5714285714285714,0.42857142857142855,0.2465753424657534,,
V2_hier_stat,RandomForest,0.4101694915254237,0.42264872276859095,0.4631578947368421,0.38,0.4,0.624113475177305,0.4014084507042254,0.24242424242424243,0.8203389830508474,0.3888888888888889
V2_hier_stat,GradientBoosting,0.4101694915254237,0.4176734850515338,0.47368421052631576,0.3933333333333333,0.34,0.6293706293706294,0.41114982578397213,0.2125,0.8203389830508474,0.38578680203045684
V2_hier_stat,LogisticRegression,0.29152542372881357,0.31179702769480405,0.4421052631578947,0.26,0.1,0.5833333333333334,0.29770992366412213,0.05434782608695652,0.7966101694915254,0.22797927461139897
V2_hier_stat,SVM_RBF,0.30847457627118646,0.31649287772140355,0.3894736842105263,0.30666666666666664,0.16,0.5323741007194245,0.31833910034602075,0.09876543209876543,0.7796610169491526,0.27979274611398963
V2_hier_stat,KNN,0.3694915254237288,0.3623313389550138,0.43157894736842106,0.34,0.34,0.4823529411764706,0.39080459770114945,0.2138364779874214,0.7016949152542373,0.40963855421686746
V2_hier_stat,MLP,0.3593220338983051,0.3644545569460245,0.4,0.37333333333333335,0.24,0.562962962962963,0.3822525597269625,0.14814814814814814,0.8,0.3434343434343434
V2_hier_stat,NaiveBayes,0.38305084745762713,0.40275779848337107,0.3684210526315789,0.34,0.54,0.5384615384615384,0.42323651452282157,0.2465753424657534,0.7966101694915254,0.39
V3_hier_caafe_n2,RandomForest,0.43389830508474575,0.40868538093053813,0.4631578947368421,0.5066666666666667,0.16,0.624113475177305,0.48253968253968255,0.11940298507462686,0.8203389830508474,0.42424242424242425
V3_hier_caafe_n2,GradientBoosting,0.5050847457627119,0.4878937341581564,0.47368421052631576,0.56,0.4,0.6293706293706294,0.5401929260450161,0.29411764705882354,0.8203389830508474,0.5279187817258884
V3_hier_caafe_n2,LogisticRegression,0.4101694915254237,0.37534261016234455,0.4421052631578947,0.5,0.08,0.5833333333333334,0.4838709677419355,0.058823529411764705,0.7966101694915254,0.40932642487046633
V3_hier_caafe_n2,SVM_RBF,0.4101694915254237,0.3891358675673983,0.3894736842105263,0.48,0.24,0.5323741007194245,0.46601941747572817,0.16901408450704225,0.7796610169491526,0.43523316062176165
V3_hier_caafe_n2,KNN,0.41694915254237286,0.4009211897319314,0.43157894736842106,0.42,0.38,0.4823529411764706,0.45652173913043476,0.2638888888888889,0.7016949152542373,0.4939759036144578
V3_hier_caafe_n2,MLP,0.39661016949152544,0.4040687144230059,0.4,0.3933333333333333,0.4,0.562962962962963,0.4097222222222222,0.23952095808383234,0.8,0.398989898989899
V3_hier_caafe_n2,NaiveBayes,0.41694915254237286,0.41012244460520325,0.3684210526315789,0.47333333333333333,0.34,0.5384615384615384,0.4965034965034965,0.19540229885057472,0.7966101694915254,0.44
V4_hier_llm_n2,RandomForest,0.39661016949152544,0.3636362496230435,0.4631578947368421,0.48,0.02,0.624113475177305,0.45141065830721006,0.015384615384615385,0.8203389830508474,0.3686868686868687
V4_hier_llm_n2,GradientBoosting,0.4440677966101695,0.39644006266957094,0.47368421052631576,0.5533333333333333,0.06,0.6293706293706294,0.5107692307692308,0.04918032786885246,0.8203389830508474,0.4365482233502538
V4_hier_llm_n2,LogisticRegression,0.3728813559322034,0.34857095791120996,0.4421052631578947,0.44,0.04,0.5833333333333334,0.4342105263157895,0.028169014084507043,0.7966101694915254,0.35233160621761656
V4_hier_llm_n2,SVM_RBF,0.376271186440678,0.3469081975325711,0.3894736842105263,0.4666666666666667,0.08,0.5323741007194245,0.45161290322580644,0.05673758865248227,0.7796610169491526,0.38341968911917096
V4_hier_llm_n2,KNN,0.41694915254237286,0.3860716700473293,0.43157894736842106,0.46,0.26,0.4823529411764706,0.47586206896551725,0.2,0.7016949152542373,0.4939759036144578
V4_hier_llm_n2,MLP,0.39322033898305087,0.3776175253144709,0.4,0.46,0.18,0.562962962962963,0.44660194174757284,0.1232876712328767,0.8,0.3939393939393939
V4_hier_llm_n2,NaiveBayes,0.4033898305084746,0.3977976046941564,0.3684210526315789,0.46,0.3,0.5384615384615384,0.4825174825174825,0.1724137931034483,0.7966101694915254,0.42
V5_hier_llm_ambos,RandomForest,0.3694915254237288,0.33621707214721747,0.37894736842105264,0.48,0.02,0.5454545454545454,0.4485981308411215,0.014598540145985401,0.7966101694915254,0.36683417085427134
V5_hier_llm_ambos,GradientBoosting,0.42033898305084744,0.3741378021527213,0.3894736842105263,0.5533333333333333,0.08,0.556390977443609,0.503030303030303,0.06299212598425197,0.8,0.4371859296482412
V5_hier_llm_ambos,LogisticRegression,0.3694915254237288,0.34902516309741577,0.42105263157894735,0.44666666666666666,0.04,0.5882352941176471,0.43086816720257237,0.027972027972027972,0.8101694915254237,0.34673366834170855
V5_hier_llm_ambos,SVM_RBF,0.3694915254237288,0.34460516652297474,0.3684210526315789,0.4666666666666667,0.08,0.5303030303030303,0.44871794871794873,0.0547945205479452,0.7898305084745763,0.37373737373737376
V5_hier_llm_ambos,KNN,0.43050847457627117,0.41063284541545414,0.4631578947368421,0.4533333333333333,0.3,0.546583850931677,0.4755244755244755,0.2097902097902098,0.752542372881356,0.46629213483146065
V5_hier_llm_ambos,MLP,0.3898305084745763,0.37565679470441377,0.4,0.4533333333333333,0.18,0.562962962962963,0.44155844155844154,0.12244897959183673,0.8,0.3888888888888889
V5_hier_llm_ambos,NaiveBayes,0.3016949152542373,0.24109134168384702,0.05263157894736842,0.46,0.3,0.1,0.4709897610921502,0.15228426395939088,0.6949152542372882,0.42
V6_direto_llm,RandomForest,0.4067796610169492,0.37250498022037687,0.43157894736842106,0.5066666666666667,0.06,0.5985401459854015,0.4735202492211838,0.045454545454545456,,
V6_direto_llm,GradientBoosting,0.4033898305084746,0.3704307296516165,0.3263157894736842,0.52,0.2,0.4881889763779528,0.4727272727272727,0.15037593984962405,,
V6_direto_llm,LogisticRegression,0.36271186440677966,0.34488131536030675,0.43157894736842106,0.4266666666666667,0.04,0.5899280575539568,0.4169381107491857,0.027777777777777776,,
V6_direto_llm,SVM_RBF,0.4033898305084746,0.36095441908106524,0.37894736842105264,0.5266666666666666,0.08,0.5294117647058824,0.49375,0.05970149253731343,,
V6_direto_llm,KNN,0.44745762711864406,0.41435122486817644,0.43157894736842106,0.52,0.26,0.5324675324675324,0.5165562913907285,0.19402985074626866,,
V6_direto_llm,MLP,0.4033898305084746,0.37923629714674495,0.3894736842105263,0.49333333333333335,0.16,0.5522388059701493,0.47435897435897434,0.1111111111111111,,
V6_direto_llm,NaiveBayes,0.38305084745762713,0.37283086442559416,0.30526315789473685,0.46,0.3,0.46774193548387094,0.4859154929577465,0.16483516483516483,,
