dataset,n_samples,avg_quality,min_quality,n_issues,pct_issues,original_label,original_name,predicted_label,predicted_name,label_agrees
MAR_airquality_ozone,50,0.3760210384616935,0.002169004326113956,33,66.0,1,MAR,2,MNAR,False
MAR_colic_resprate,50,0.4245815993841297,0.00013172062946132748,28,56.0,1,MAR,2,MNAR,False
MAR_hearth_chol,50,0.6863122527311597,0.006459882422391589,11,22.0,1,MAR,1,MAR,True
MAR_kidney_hemo,50,0.18684361321718826,0.0002158364208202738,41,82.0,1,MAR,2,MNAR,False
MAR_mammographic_density,50,0.3255670850220936,0.00385258646583123,36,72.0,1,MAR,2,MNAR,False
MAR_oceanbuoys_airtemp,50,0.9399026888563224,0.3791677052549758,1,2.0,1,MAR,1,MAR,True
MAR_oceanbuoys_humidity,50,0.4502577096058173,0.053108768350779344,18,36.0,1,MAR,1,MAR,True
MAR_sick_t3,50,0.07286820560673596,1.4790163142785648e-06,46,92.0,1,MAR,0,MCAR,False
MAR_sick_tsh,50,0.024220287247362794,4.6048422760647294e-05,49,98.0,1,MAR,2,MNAR,False
MAR_titanic_age,50,0.9065364684603562,0.01502935866721176,3,6.0,1,MAR,1,MAR,True
MAR_titanic_age_v2,50,0.7360783687451509,0.0006963885876857925,11,22.0,1,MAR,1,MAR,True
MCAR_autompg_horsepower,37,0.023576623320819157,0.00010438360126705017,36,97.29729729729729,0,MCAR,1,MAR,False
MCAR_breastcancer_barenuclei,45,0.89300881000832,0.0028310618885066027,2,4.444444444444445,0,MCAR,0,MCAR,True
MCAR_cylinderbands_bladepressure,50,0.13815182667118203,1.2748796550531972e-05,42,84.0,0,MCAR,2,MNAR,False
MCAR_cylinderbands_esavoltage,50,0.282398860684751,8.87034946121279e-05,32,64.0,0,MCAR,2,MNAR,False
MCAR_hypothyroid_t4u,50,0.0009996559704053129,3.2829774555446477e-07,50,100.0,0,MCAR,1,MAR,False
MNAR_adult_capitalgain,50,0.3195941683645588,0.00038306667344429235,31,62.0,2,MNAR,1,MAR,False
MNAR_colic_refluxph,50,0.5417089803999082,0.0036905448238970357,17,34.0,2,MNAR,2,MNAR,True
MNAR_cylinderbands_varnishpct,50,0.1567871400892454,2.1720369497973324e-05,45,90.0,2,MNAR,1,MAR,False
MNAR_kidney_pot,50,0.4928923848028536,9.616856499111016e-05,25,50.0,2,MNAR,2,MNAR,True
MNAR_kidney_sod,50,0.42355029688836043,0.003057905578175564,29,58.0,2,MNAR,1,MAR,False
MNAR_mroz_wages,50,0.02892180682073831,3.786806621472717e-05,50,100.0,2,MNAR,1,MAR,False
MNAR_pima_insulin,50,0.254105798767517,0.0006603792858050976,36,72.0,2,MNAR,1,MAR,False
