modelo,fold,score
RandomForest,0,0.392
RandomForest,1,0.7551020408163265
RandomForest,2,0.34177215189873417
RandomForest,3,0.215
RandomForest,4,0.245
GradientBoosting,0,0.396
GradientBoosting,1,0.6571428571428571
GradientBoosting,2,0.3670886075949367
GradientBoosting,3,0.18
GradientBoosting,4,0.22
LogisticRegression,0,0.34
LogisticRegression,1,0.8285714285714286
LogisticRegression,2,0.48945147679324896
LogisticRegression,3,0.335
LogisticRegression,4,0.325
SVM_RBF,0,0.38
SVM_RBF,1,0.7591836734693878
SVM_RBF,2,0.28270042194092826
SVM_RBF,3,0.265
SVM_RBF,4,0.29
KNN,0,0.36
KNN,1,0.7551020408163265
KNN,2,0.34177215189873417
KNN,3,0.225
KNN,4,0.29
MLP,0,0.424
MLP,1,0.7142857142857143
MLP,2,0.39662447257383965
MLP,3,0.255
MLP,4,0.265
NaiveBayes,0,0.544
NaiveBayes,1,0.7551020408163265
NaiveBayes,2,0.379746835443038
NaiveBayes,3,0.325
NaiveBayes,4,0.365
