modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.9761904761904762,0.43157894736842106,0.5985401459854015,95
RandomForest,MAR,0.4444444444444444,0.5066666666666667,0.4735202492211838,150
RandomForest,MNAR,0.036585365853658534,0.06,0.045454545454545456,50
GradientBoosting,MCAR,0.96875,0.3263157894736842,0.4881889763779528,95
GradientBoosting,MAR,0.43333333333333335,0.52,0.4727272727272727,150
GradientBoosting,MNAR,0.12048192771084337,0.2,0.15037593984962405,50
LogisticRegression,MCAR,0.9318181818181818,0.43157894736842106,0.5899280575539568,95
LogisticRegression,MAR,0.40764331210191085,0.4266666666666667,0.4169381107491857,150
LogisticRegression,MNAR,0.02127659574468085,0.04,0.027777777777777776,50
SVM_RBF,MCAR,0.825,0.3473684210526316,0.4888888888888889,95
SVM_RBF,MAR,0.48823529411764705,0.5533333333333333,0.51875,150
SVM_RBF,MNAR,0.07058823529411765,0.12,0.08888888888888889,50
KNN,MCAR,0.7166666666666667,0.45263157894736844,0.5548387096774193,95
KNN,MAR,0.5170068027210885,0.5066666666666667,0.5117845117845118,150
KNN,MNAR,0.14772727272727273,0.26,0.18840579710144928,50
MLP,MCAR,0.9696969696969697,0.3368421052631579,0.5,95
MLP,MAR,0.46296296296296297,0.5,0.4807692307692308,150
MLP,MNAR,0.09,0.18,0.12,50
NaiveBayes,MCAR,1.0,0.30526315789473685,0.46774193548387094,95
NaiveBayes,MAR,0.5149253731343284,0.46,0.4859154929577465,150
NaiveBayes,MNAR,0.11363636363636363,0.3,0.16483516483516483,50
