feature,mean_abs_shap_l1,mean_abs_shap_l2,delta
X0_obs_vs_full_ratio,0.04324983185865527,0.10806834521390032,0.06481851335524505
X0_mean_shift_X1_to_X4,0.012309186940476828,0.03715834042739905,0.024849153486922224
little_proxy_score,0.018349382243019068,0.025105334181505137,0.00675595193848607
mechdetect_auc_excluded,0.002918257053191707,0.006107415719525023,0.0031891586663333154
mechdetect_auc_shuffled,0.005344797178406376,0.0053570996505009705,1.2302472094594813e-05
log_pval_X1_mask,0.0064736866151672255,0.006461740699643458,-1.1945915523767225e-05
auc_mask_from_Xobs,0.007012070060626439,0.006871392469010151,-0.0001406775916162886
mechdetect_auc_complete,0.005550589180196621,0.005336304832071355,-0.0002142843481252668
X0_tail_missing_ratio,0.001281923366604216,0.0,-0.001281923366604216
mechdetect_delta_complete_excluded,0.01136250573949657,0.00961521119880496,-0.0017472945406916095
coef_X1_abs,0.005662037225140157,0.0027714932508804933,-0.002890543974259664
X1_mannwhitney_pval,0.01147431287635992,0.008046009960953277,-0.003428302915406644
mechdetect_delta_complete_shuffled,0.007539830565420634,0.00376344194105532,-0.003776388624365314
mechdetect_mwu_pvalue,0.006364664551781261,0.0017565002345459153,-0.004608164317235346
X0_obs_skew_diff,0.043996465500246794,0.039258408941188636,-0.004738056559058158
X0_iqr_ratio,0.01600819056504058,0.005693030074310344,-0.010315160490730235
mask_entropy,0.019283161041923968,0.004089681121399264,-0.015193479920524704
X0_missing_rate,0.019514460424060142,0.0025210483773689435,-0.0169934120466912
X1_mean_diff,0.06760530283143633,0.009284819334310173,-0.05832048349712615
X0_ks_obs_vs_imputed,0.06612739473584651,0.00307730248883506,-0.06305009224701145
X0_censoring_score,0.15946077127243852,0.007269719907323994,-0.15219105136511452
