feature,mean_abs_shap_l2_all
X0_obs_vs_full_ratio,0.08573311616017054
caafe_cond_entropy_X0_mask,0.06366980860325416
caafe_kurtosis_excess,0.05939566088154419
caafe_tail_asymmetry,0.042395020200831246
llm_dist_shift,0.03828204476122247
X0_obs_skew_diff,0.03574164302507407
X0_mean_shift_X1_to_X4,0.02880885272513526
little_proxy_score,0.021965426978495347
mechdetect_delta_complete_excluded,0.008680369554145372
X1_mannwhitney_pval,0.008459439078012734
X1_mean_diff,0.0070566004073338885
mechdetect_auc_excluded,0.0070154935106524095
llm_anomaly,0.006688002856809359
mechdetect_auc_complete,0.0060453653234040184
X0_censoring_score,0.005632645730326675
log_pval_X1_mask,0.0054959329372678434
auc_mask_from_Xobs,0.005240968963771154
llm_evidence_consistency,0.004248973201381712
X0_iqr_ratio,0.0038689797344417963
coef_X1_abs,0.00363529632143679
mechdetect_delta_complete_shuffled,0.0035867073412055644
llm_mcar_vs_mnar,0.003555792494100584
mask_entropy,0.003279861163050491
X0_ks_obs_vs_imputed,0.0030615370104488627
llm_mnar_conf,0.0028313772132193943
mechdetect_auc_shuffled,0.0028132711879507995
X0_missing_rate,0.002614933526595815
llm_mcar_conf,0.0022523916021046165
llm_mar_conf,0.001995072627850643
llm_pattern_clarity,0.001974651441769165
mechdetect_mwu_pvalue,0.0018931866966003421
caafe_missing_rate_by_quantile,0.0
X0_tail_missing_ratio,0.0
