feature,mean_abs_shap_l2
X0_obs_vs_full_ratio,0.10806834521390032
caafe_cond_entropy_X0_mask,0.07205633031857164
caafe_kurtosis_excess,0.06371404440666717
caafe_tail_asymmetry,0.05410719943844618
X0_obs_skew_diff,0.039258408941188636
X0_mean_shift_X1_to_X4,0.03715834042739905
little_proxy_score,0.025105334181505137
mechdetect_delta_complete_excluded,0.00961521119880496
X1_mean_diff,0.009284819334310173
X1_mannwhitney_pval,0.008046009960953277
X0_censoring_score,0.007269719907323994
auc_mask_from_Xobs,0.006871392469010151
log_pval_X1_mask,0.006461740699643458
mechdetect_auc_excluded,0.006107415719525023
X0_iqr_ratio,0.005693030074310344
mechdetect_auc_shuffled,0.0053570996505009705
mechdetect_auc_complete,0.005336304832071355
mask_entropy,0.004089681121399264
mechdetect_delta_complete_shuffled,0.00376344194105532
X0_ks_obs_vs_imputed,0.00307730248883506
coef_X1_abs,0.0027714932508804933
X0_missing_rate,0.0025210483773689435
mechdetect_mwu_pvalue,0.0017565002345459153
X0_tail_missing_ratio,0.0
caafe_missing_rate_by_quantile,0.0
