modelo,fold,score
RandomForest,0,0.775
RandomForest,1,0.7875
RandomForest,2,0.775
RandomForest,3,0.7583333333333333
RandomForest,4,0.7208333333333333
GradientBoosting,0,0.7708333333333334
GradientBoosting,1,0.7625
GradientBoosting,2,0.7958333333333333
GradientBoosting,3,0.7416666666666667
GradientBoosting,4,0.6958333333333333
LogisticRegression,0,0.7833333333333333
LogisticRegression,1,0.7833333333333333
LogisticRegression,2,0.7958333333333333
LogisticRegression,3,0.7625
LogisticRegression,4,0.75
SVM_RBF,0,0.7791666666666667
SVM_RBF,1,0.8
SVM_RBF,2,0.7958333333333333
SVM_RBF,3,0.7583333333333333
SVM_RBF,4,0.7416666666666667
KNN,0,0.7041666666666667
KNN,1,0.75
KNN,2,0.725
KNN,3,0.7208333333333333
KNN,4,0.6958333333333333
MLP,0,0.7041666666666667
MLP,1,0.7166666666666667
MLP,2,0.7458333333333333
MLP,3,0.7666666666666667
MLP,4,0.6625
NaiveBayes,0,0.6875
NaiveBayes,1,0.7083333333333334
NaiveBayes,2,0.7125
NaiveBayes,3,0.6708333333333333
NaiveBayes,4,0.6833333333333333
