feature,importance
X1_mean_diff,0.09425479307061557
X1_mannwhitney_pval,0.09318234008445367
log_pval_X1_mask,0.08739282606276116
mask_entropy,0.06827328629620306
coef_X1_abs,0.06388178671952299
mechdetect_auc_excluded,0.047727361053925416
mechdetect_auc_complete,0.04317121206365428
auc_mask_from_Xobs,0.037382923460168534
llm_mcar_conf,0.037264531299292476
llm_mar_conf,0.037261863402621685
caafe_kurtosis_excess,0.0345123694313517
mechdetect_delta_complete_shuffled,0.03200159687715534
X0_mean_shift_X1_to_X4,0.027244015281587108
mechdetect_auc_shuffled,0.024975710593363155
caafe_cond_entropy_X0_mask,0.024451599810106313
little_proxy_score,0.022318284229561215
X0_iqr_ratio,0.020660725475919604
X0_obs_vs_full_ratio,0.020433463178594565
X0_obs_skew_diff,0.020180481220153913
mechdetect_delta_complete_excluded,0.019163476715474092
X0_ks_obs_vs_imputed,0.019063110432134083
X0_missing_rate,0.017969504233670646
mechdetect_mwu_pvalue,0.017962413810264758
llm_evidence_consistency,0.01780164659316117
llm_dist_shift,0.016472763091972913
llm_anomaly,0.014595161277642935
llm_mnar_conf,0.014346026359953768
llm_mcar_vs_mnar,0.013594354449486996
llm_pattern_clarity,0.01246037342522693
caafe_tail_asymmetry,0.0
caafe_missing_rate_by_quantile,0.0
X0_censoring_score,0.0
X0_tail_missing_ratio,0.0
