modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.3125,0.5263157894736842,0.39215686274509803,95
RandomForest,MAR,0.4732824427480916,0.41333333333333333,0.4412811387900356,150
RandomForest,MNAR,0.47115384615384615,0.32666666666666666,0.3858267716535433,150
GradientBoosting,MCAR,0.2988505747126437,0.5473684210526316,0.38661710037174724,95
GradientBoosting,MAR,0.47244094488188976,0.4,0.4332129963898917,150
GradientBoosting,MNAR,0.5106382978723404,0.32,0.39344262295081966,150
LogisticRegression,MCAR,0.5934065934065934,0.5684210526315789,0.5806451612903226,95
LogisticRegression,MAR,0.5263157894736842,0.6,0.5607476635514018,150
LogisticRegression,MNAR,0.556390977443609,0.49333333333333335,0.5229681978798587,150
SVM_RBF,MCAR,0.38666666666666666,0.6105263157894737,0.47346938775510206,95
SVM_RBF,MAR,0.46206896551724136,0.44666666666666666,0.4542372881355932,150
SVM_RBF,MNAR,0.51,0.34,0.408,150
KNN,MCAR,0.3888888888888889,0.5894736842105263,0.4686192468619247,95
KNN,MAR,0.4307692307692308,0.37333333333333335,0.4,150
KNN,MNAR,0.4297520661157025,0.3466666666666667,0.3837638376383764,150
MLP,MCAR,0.39072847682119205,0.6210526315789474,0.4796747967479675,95
MLP,MAR,0.46258503401360546,0.4533333333333333,0.45791245791245794,150
MLP,MNAR,0.4845360824742268,0.31333333333333335,0.3805668016194332,150
NaiveBayes,MCAR,0.7843137254901961,0.42105263157894735,0.547945205479452,95
NaiveBayes,MAR,0.53125,0.4533333333333333,0.4892086330935252,150
NaiveBayes,MNAR,0.4861111111111111,0.7,0.5737704918032787,150
