modelo,classe,precision,recall,f1,support
RandomForest,MCAR,1.0,0.9894736842105263,0.9947089947089947,95
RandomForest,MAR,0.9006211180124224,0.9666666666666667,0.932475884244373,150
RandomForest,MNAR,0.9642857142857143,0.9,0.9310344827586207,150
GradientBoosting,MCAR,0.9306930693069307,0.9894736842105263,0.9591836734693877,95
GradientBoosting,MAR,0.922077922077922,0.9466666666666667,0.9342105263157895,150
GradientBoosting,MNAR,0.9428571428571428,0.88,0.9103448275862069,150
LogisticRegression,MCAR,0.9574468085106383,0.9473684210526315,0.9523809523809523,95
LogisticRegression,MAR,0.8910256410256411,0.9266666666666666,0.9084967320261438,150
LogisticRegression,MNAR,0.9310344827586207,0.9,0.9152542372881356,150
SVM_RBF,MCAR,0.875,0.9578947368421052,0.914572864321608,95
SVM_RBF,MAR,0.8740740740740741,0.7866666666666666,0.8280701754385965,150
SVM_RBF,MNAR,0.8076923076923077,0.84,0.8235294117647058,150
KNN,MCAR,0.83,0.8736842105263158,0.8512820512820513,95
KNN,MAR,0.8111888111888111,0.7733333333333333,0.7918088737201365,150
KNN,MNAR,0.7894736842105263,0.8,0.7947019867549668,150
MLP,MCAR,0.9473684210526315,0.9473684210526315,0.9473684210526315,95
MLP,MAR,0.8618421052631579,0.8733333333333333,0.8675496688741722,150
MLP,MNAR,0.8716216216216216,0.86,0.8657718120805369,150
NaiveBayes,MCAR,0.956989247311828,0.9368421052631579,0.9468085106382979,95
NaiveBayes,MAR,0.8384615384615385,0.7266666666666667,0.7785714285714286,150
NaiveBayes,MNAR,0.7616279069767442,0.8733333333333333,0.8136645962732919,150
