sample_idx,y_true,modelo,pred_baseline,conf_baseline,pred_llm,pred_ensemble,switched_to_llm,group
6,0,RandomForest,0,0.67,0,0,False,MCAR_block_seed1123435817_mr4.txt
13,0,RandomForest,0,0.845,0,0,False,MCAR_block_seed125565511_mr6.txt
14,0,RandomForest,0,0.755,0,0,False,MCAR_block_seed1282972302_mr3.txt
19,0,RandomForest,0,0.625,0,0,False,MCAR_block_seed1374517740_mr10.txt
23,0,RandomForest,0,0.555,0,0,True,MCAR_block_seed1420290459_mr1.txt
32,0,RandomForest,0,0.8975,0,0,False,MCAR_block_seed1641360605_mr9.txt
33,0,RandomForest,0,0.7675,0,0,False,MCAR_block_seed1663578933_mr4.txt
34,0,RandomForest,0,0.7225,0,0,False,MCAR_block_seed1679339875_mr9.txt
42,0,RandomForest,0,0.7225,0,0,False,MCAR_block_seed1800897090_mr10.txt
43,0,RandomForest,0,0.7225,0,0,False,MCAR_block_seed1816658032_mr9.txt
48,0,RandomForest,0,0.83,0,0,False,MCAR_block_seed1908203470_mr7.txt
49,0,RandomForest,0,0.7475,0,0,False,MCAR_block_seed1930421798_mr5.txt
53,0,RandomForest,2,0.5225,2,2,True,MCAR_block_seed2021967236_mr1.txt
58,0,RandomForest,0,0.81,0,0,False,MCAR_block_seed262883668_mr4.txt
60,0,RandomForest,0,0.6125,0,0,False,MCAR_block_seed34020073_mr1.txt
70,0,RandomForest,0,0.8,0,0,False,MCAR_block_seed483953814_mr8.txt
75,0,RandomForest,0,0.63,0,0,False,MCAR_block_seed575499252_mr9.txt
82,0,RandomForest,0,0.9125,0,0,False,MCAR_block_seed689263018_mr5.txt
90,0,RandomForest,0,0.8375,0,0,False,MCAR_block_seed864560445_mr8.txt
96,0,RandomForest,0,0.5475,0,0,True,MCAR_block_seed940344941_mr1.txt
97,0,RandomForest,0,0.76,0,0,False,MCAR_block_seed95553734_mr4.txt
98,0,RandomForest,0,0.89,0,0,False,MCAR_block_seed956105883_mr10.txt
102,0,RandomForest,2,0.6225,2,2,False,MCAR_fixed_seed1042367434_mr3.txt
109,0,RandomForest,2,0.6875,2,2,False,MCAR_fixed_seed1217664861_mr8.txt
115,0,RandomForest,0,0.6425,0,0,False,MCAR_fixed_seed1354983018_mr8.txt
117,0,RandomForest,2,0.67,0,2,False,MCAR_fixed_seed1384994795_mr8.txt
120,0,RandomForest,2,0.5425,2,2,True,MCAR_fixed_seed143836015_mr3.txt
121,0,RandomForest,0,0.5525,0,0,True,MCAR_fixed_seed1446528456_mr7.txt
122,0,RandomForest,2,0.575,2,2,True,MCAR_fixed_seed1468746784_mr6.txt
126,0,RandomForest,1,0.3775,1,1,True,MCAR_fixed_seed151803508_mr8.txt
130,0,RandomForest,1,0.4025,2,2,True,MCAR_fixed_seed1560292222_mr7.txt
131,0,RandomForest,0,0.425,1,1,True,MCAR_fixed_seed1583846613_mr2.txt
134,0,RandomForest,0,0.515,2,2,True,MCAR_fixed_seed1651837660_mr9.txt
136,0,RandomForest,0,0.55,0,0,True,MCAR_fixed_seed1719828707_mr8.txt
143,0,RandomForest,1,0.3475,0,0,True,MCAR_fixed_seed1827135087_mr7.txt
144,0,RandomForest,2,0.69,2,2,False,MCAR_fixed_seed1834928536_mr10.txt
152,0,RandomForest,2,0.5425,2,2,True,MCAR_fixed_seed1986671572_mr2.txt
154,0,RandomForest,2,0.5975,2,2,True,MCAR_fixed_seed2010225963_mr6.txt
157,0,RandomForest,0,0.495,0,0,True,MCAR_fixed_seed205369676_mr3.txt
166,0,RandomForest,2,0.51,0,0,True,MCAR_fixed_seed402885431_mr10.txt
167,0,RandomForest,0,0.51,0,0,True,MCAR_fixed_seed410678880_mr6.txt
170,0,RandomForest,1,0.3925,1,1,True,MCAR_fixed_seed456451599_mr3.txt
173,0,RandomForest,2,0.6625,2,2,False,MCAR_fixed_seed52290577_mr3.txt
176,0,RandomForest,2,0.67,2,2,False,MCAR_fixed_seed570215365_mr3.txt
177,0,RandomForest,0,0.51,0,0,True,MCAR_fixed_seed585976307_mr9.txt
182,0,RandomForest,2,0.6375,2,2,False,MCAR_fixed_seed677521745_mr1.txt
192,0,RandomForest,0,0.4675,2,2,True,MCAR_fixed_seed905049277_mr6.txt
193,0,RandomForest,0,0.5875,0,0,True,MCAR_fixed_seed928603668_mr9.txt
194,0,RandomForest,2,0.7025,2,2,False,MCAR_fixed_seed950821996_mr7.txt
211,0,RandomForest,2,0.745,2,2,False,MCAR_uniform_seed1235865152_mr8.txt
213,0,RandomForest,2,0.55,2,2,True,MCAR_uniform_seed1258083480_mr3.txt
216,0,RandomForest,1,0.79,1,1,False,MCAR_uniform_seed1303856199_mr4.txt
217,0,RandomForest,2,0.7,0,2,False,MCAR_uniform_seed1319617141_mr8.txt
224,0,RandomForest,2,0.48,2,2,True,MCAR_uniform_seed1479153626_mr1.txt
227,0,RandomForest,2,0.7525,0,2,False,MCAR_uniform_seed1532719794_mr8.txt
228,0,RandomForest,2,0.5175,2,2,True,MCAR_uniform_seed154242857_mr5.txt
235,0,RandomForest,2,0.53,2,2,True,MCAR_uniform_seed16924700_mr9.txt
237,0,RandomForest,2,0.6875,2,2,False,MCAR_uniform_seed1730235549_mr5.txt
239,0,RandomForest,2,0.5625,2,2,True,MCAR_uniform_seed1753789940_mr3.txt
245,0,RandomForest,2,0.4725,2,2,True,MCAR_uniform_seed1845335378_mr2.txt
262,0,RandomForest,0,0.555,2,2,True,MCAR_uniform_seed283767565_mr7.txt
264,0,RandomForest,2,0.405,2,2,True,MCAR_uniform_seed329540284_mr2.txt
265,0,RandomForest,2,0.56,2,2,True,MCAR_uniform_seed359552061_mr3.txt
267,0,RandomForest,2,0.5975,2,2,True,MCAR_uniform_seed397531331_mr6.txt
270,0,RandomForest,2,0.5275,2,2,True,MCAR_uniform_seed443304050_mr1.txt
272,0,RandomForest,2,0.5775,2,2,True,MCAR_uniform_seed459064992_mr3.txt
274,0,RandomForest,1,0.38,1,1,True,MCAR_uniform_seed489076769_mr9.txt
283,0,RandomForest,2,0.7225,2,2,False,MCAR_uniform_seed717940364_mr10.txt
287,0,RandomForest,0,0.53,2,2,True,MCAR_uniform_seed78458361_mr6.txt
288,0,RandomForest,2,0.64,0,2,False,MCAR_uniform_seed785931411_mr8.txt
289,0,RandomForest,2,0.5975,2,2,True,MCAR_uniform_seed801692353_mr4.txt
303,1,RandomForest,1,0.965,1,1,False,MAR_logistic_seed1101139123_mr5.txt
310,1,RandomForest,2,0.675,2,2,False,MAR_logistic_seed1222696338_mr1.txt
323,1,RandomForest,1,1.0,1,1,False,MAR_logistic_seed1511757531_mr4.txt
330,1,RandomForest,1,0.9525,1,1,False,MAR_logistic_seed1626857360_mr3.txt
331,1,RandomForest,1,1.0,1,1,False,MAR_logistic_seed1649075688_mr10.txt
339,1,RandomForest,1,0.9125,1,1,False,MAR_logistic_seed1802154787_mr6.txt
343,1,RandomForest,1,1.0,1,1,False,MAR_logistic_seed1877939283_mr5.txt
344,1,RandomForest,1,0.9725,1,1,False,MAR_logistic_seed1915918553_mr6.txt
349,1,RandomForest,1,0.815,1,1,False,MAR_logistic_seed202607704_mr4.txt
351,1,RandomForest,1,0.6875,1,1,False,MAR_logistic_seed2053236710_mr10.txt
