data_type,configuracao,n_features,modelo_ml,accuracy
sintetico,baseline (apenas ML),25,RandomForest,0.7567
sintetico,baseline (apenas ML),25,GradientBoosting,0.75
sintetico,baseline (apenas ML),25,LogisticRegression,0.7633
sintetico,baseline (apenas ML),25,SVM_RBF,0.76
sintetico,baseline (apenas ML),25,KNN,0.7133
sintetico,baseline (apenas ML),25,MLP,0.7467
sintetico,baseline (apenas ML),25,NaiveBayes,0.7067
sintetico,gemini-3-flash-preview (ML + LLM),33,RandomForest,0.7367
sintetico,gemini-3-flash-preview (ML + LLM),33,GradientBoosting,0.7433
sintetico,gemini-3-flash-preview (ML + LLM),33,LogisticRegression,0.7633
sintetico,gemini-3-flash-preview (ML + LLM),33,SVM_RBF,0.7733
sintetico,gemini-3-flash-preview (ML + LLM),33,KNN,0.6967
sintetico,gemini-3-flash-preview (ML + LLM),33,MLP,0.7433
sintetico,gemini-3-flash-preview (ML + LLM),33,NaiveBayes,0.69
real,baseline (apenas ML),25,RandomForest,0.4076
real,baseline (apenas ML),25,GradientBoosting,0.4051
real,baseline (apenas ML),25,LogisticRegression,0.5519
real,baseline (apenas ML),25,SVM_RBF,0.4456
real,baseline (apenas ML),25,KNN,0.4152
real,baseline (apenas ML),25,MLP,0.4405
real,baseline (apenas ML),25,NaiveBayes,0.5392
real,gemini-3-flash-preview (ML + LLM),33,RandomForest,0.9468
real,gemini-3-flash-preview (ML + LLM),33,GradientBoosting,0.9316
real,gemini-3-flash-preview (ML + LLM),33,LogisticRegression,0.9215
real,gemini-3-flash-preview (ML + LLM),33,SVM_RBF,0.8481
real,gemini-3-flash-preview (ML + LLM),33,KNN,0.8076
real,gemini-3-flash-preview (ML + LLM),33,MLP,0.8861
real,gemini-3-flash-preview (ML + LLM),33,NaiveBayes,0.8329
