modelo,fold,score
RandomForest,0,0.5892255892255892
RandomForest,1,0.3694915254237288
RandomForest,2,0.35294117647058826
RandomForest,3,0.34843205574912894
RandomForest,4,0.3
GradientBoosting,0,0.5387205387205387
GradientBoosting,1,0.23728813559322035
GradientBoosting,2,0.3460207612456747
GradientBoosting,3,0.3693379790940767
GradientBoosting,4,0.272
LogisticRegression,0,0.6296296296296297
LogisticRegression,1,0.28135593220338984
LogisticRegression,2,0.38408304498269896
LogisticRegression,3,0.34146341463414637
LogisticRegression,4,0.412
SVM_RBF,0,0.5016835016835017
SVM_RBF,1,0.2677966101694915
SVM_RBF,2,0.31141868512110726
SVM_RBF,3,0.3797909407665505
SVM_RBF,4,0.256
KNN,0,0.4377104377104377
KNN,1,0.2576271186440678
KNN,2,0.3875432525951557
KNN,3,0.3693379790940767
KNN,4,0.372
MLP,0,0.5050505050505051
MLP,1,0.30847457627118646
MLP,2,0.314878892733564
MLP,3,0.3832752613240418
MLP,4,0.268
NaiveBayes,0,0.6161616161616161
NaiveBayes,1,0.43728813559322033
NaiveBayes,2,0.4602076124567474
NaiveBayes,3,0.2857142857142857
NaiveBayes,4,0.54
