modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.3037974683544304,0.5052631578947369,0.3794466403162055,95
RandomForest,MAR,0.47244094488188976,0.4,0.4332129963898917,150
RandomForest,MNAR,0.4909090909090909,0.36,0.4153846153846154,150
GradientBoosting,MCAR,0.3202614379084967,0.5157894736842106,0.3951612903225806,95
GradientBoosting,MAR,0.4962962962962963,0.44666666666666666,0.47017543859649125,150
GradientBoosting,MNAR,0.5233644859813084,0.37333333333333335,0.4357976653696498,150
LogisticRegression,MCAR,0.5567010309278351,0.5684210526315789,0.5625,95
LogisticRegression,MAR,0.4968553459119497,0.5266666666666666,0.511326860841424,150
LogisticRegression,MNAR,0.5251798561151079,0.4866666666666667,0.5051903114186851,150
SVM_RBF,MCAR,0.3270440251572327,0.5473684210526316,0.4094488188976378,95
SVM_RBF,MAR,0.4632352941176471,0.42,0.4405594405594406,150
SVM_RBF,MNAR,0.43,0.2866666666666667,0.344,150
KNN,MCAR,0.3767123287671233,0.5789473684210527,0.45643153526970953,95
KNN,MAR,0.48872180451127817,0.43333333333333335,0.45936395759717313,150
KNN,MNAR,0.43103448275862066,0.3333333333333333,0.37593984962406013,150
MLP,MCAR,0.3333333333333333,0.5368421052631579,0.4112903225806452,95
MLP,MAR,0.43283582089552236,0.38666666666666666,0.4084507042253521,150
MLP,MNAR,0.4166666666666667,0.3,0.3488372093023256,150
NaiveBayes,MCAR,0.7843137254901961,0.42105263157894735,0.547945205479452,95
NaiveBayes,MAR,0.5190839694656488,0.4533333333333333,0.48398576512455516,150
NaiveBayes,MNAR,0.4835680751173709,0.6866666666666666,0.5674931129476584,150
