data_type,configuracao,n_features,modelo_ml,accuracy
real,baseline (apenas ML),25,RandomForest,0.4076
real,baseline (apenas ML),25,GradientBoosting,0.4051
real,baseline (apenas ML),25,LogisticRegression,0.5519
real,baseline (apenas ML),25,SVM_RBF,0.4456
real,baseline (apenas ML),25,KNN,0.4152
real,baseline (apenas ML),25,MLP,0.4405
real,baseline (apenas ML),25,NaiveBayes,0.5392
real,gemini-3-flash-preview (ML + LLM),33,RandomForest,0.9187
real,gemini-3-flash-preview (ML + LLM),33,GradientBoosting,0.9437
real,gemini-3-flash-preview (ML + LLM),33,LogisticRegression,0.8938
real,gemini-3-flash-preview (ML + LLM),33,SVM_RBF,0.8187
real,gemini-3-flash-preview (ML + LLM),33,KNN,0.7125
real,gemini-3-flash-preview (ML + LLM),33,MLP,0.8063
real,gemini-3-flash-preview (ML + LLM),33,NaiveBayes,0.575
