modelo,fold,score
RandomForest,0,0.2866666666666667
RandomForest,1,0.6135593220338983
RandomForest,2,0.4186851211072664
RandomForest,3,0.39372822299651566
RandomForest,4,0.244
GradientBoosting,0,0.29
GradientBoosting,1,0.5728813559322034
GradientBoosting,2,0.3391003460207612
GradientBoosting,3,0.3832752613240418
GradientBoosting,4,0.28
LogisticRegression,0,0.47
LogisticRegression,1,0.5423728813559322
LogisticRegression,2,0.3356401384083045
LogisticRegression,3,0.4843205574912892
LogisticRegression,4,0.284
SVM_RBF,0,0.30666666666666664
SVM_RBF,1,0.5627118644067797
SVM_RBF,2,0.23183391003460208
SVM_RBF,3,0.31010452961672474
SVM_RBF,4,0.28
KNN,0,0.33
KNN,1,0.5864406779661017
KNN,2,0.3044982698961938
KNN,3,0.32752613240418116
KNN,4,0.312
MLP,0,0.25333333333333335
MLP,1,0.5796610169491525
MLP,2,0.22837370242214533
MLP,3,0.34843205574912894
MLP,4,0.268
NaiveBayes,0,0.6033333333333334
NaiveBayes,1,0.5423728813559322
NaiveBayes,2,0.4290657439446367
NaiveBayes,3,0.445993031358885
NaiveBayes,4,0.324
