modelo,fold,score
RandomForest,0,0.2866666666666667
RandomForest,1,0.6135593220338983
RandomForest,2,0.42560553633217996
RandomForest,3,0.3902439024390244
RandomForest,4,0.264
GradientBoosting,0,0.2966666666666667
GradientBoosting,1,0.5728813559322034
GradientBoosting,2,0.3356401384083045
GradientBoosting,3,0.32752613240418116
GradientBoosting,4,0.268
LogisticRegression,0,0.4766666666666667
LogisticRegression,1,0.5322033898305085
LogisticRegression,2,0.2698961937716263
LogisticRegression,3,0.46689895470383275
LogisticRegression,4,0.244
SVM_RBF,0,0.3
SVM_RBF,1,0.6406779661016949
SVM_RBF,2,0.2629757785467128
SVM_RBF,3,0.30662020905923343
SVM_RBF,4,0.284
KNN,0,0.3933333333333333
KNN,1,0.5457627118644067
KNN,2,0.34256055363321797
KNN,3,0.3588850174216028
KNN,4,0.324
MLP,0,0.24666666666666667
MLP,1,0.5423728813559322
MLP,2,0.2422145328719723
MLP,3,0.37630662020905925
MLP,4,0.3
NaiveBayes,0,0.5666666666666667
NaiveBayes,1,0.511864406779661
NaiveBayes,2,0.43252595155709345
NaiveBayes,3,0.4529616724738676
NaiveBayes,4,0.408
