modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.31645569620253167,0.5263157894736842,0.3952569169960474,95
RandomForest,MAR,0.48412698412698413,0.4066666666666667,0.4420289855072464,150
RandomForest,MNAR,0.4864864864864865,0.36,0.41379310344827586,150
GradientBoosting,MCAR,0.3375796178343949,0.5578947368421052,0.42063492063492064,95
GradientBoosting,MAR,0.48148148148148145,0.43333333333333335,0.45614035087719296,150
GradientBoosting,MNAR,0.5339805825242718,0.36666666666666664,0.43478260869565216,150
LogisticRegression,MCAR,0.625,0.5789473684210527,0.6010928961748634,95
LogisticRegression,MAR,0.5061728395061729,0.5466666666666666,0.5256410256410257,150
LogisticRegression,MNAR,0.5517241379310345,0.5333333333333333,0.5423728813559322,150
SVM_RBF,MCAR,0.33544303797468356,0.5578947368421052,0.4189723320158103,95
SVM_RBF,MAR,0.48175182481751827,0.44,0.45993031358885017,150
SVM_RBF,MNAR,0.48,0.32,0.384,150
KNN,MCAR,0.3424657534246575,0.5263157894736842,0.4149377593360996,95
KNN,MAR,0.5,0.4266666666666667,0.460431654676259,150
KNN,MNAR,0.4462809917355372,0.36,0.3985239852398524,150
MLP,MCAR,0.3404255319148936,0.5052631578947369,0.4067796610169492,95
MLP,MAR,0.4714285714285714,0.44,0.45517241379310347,150
MLP,MNAR,0.43859649122807015,0.3333333333333333,0.3787878787878788,150
NaiveBayes,MCAR,0.7708333333333334,0.3894736842105263,0.5174825174825175,95
NaiveBayes,MAR,0.6808510638297872,0.21333333333333335,0.3248730964467005,150
NaiveBayes,MNAR,0.44333333333333336,0.8866666666666667,0.5911111111111111,150
