data_type,configuracao,n_features,modelo_ml,accuracy
real,baseline (apenas ML),25,RandomForest,0.4076
real,baseline (apenas ML),25,GradientBoosting,0.4051
real,baseline (apenas ML),25,LogisticRegression,0.5519
real,baseline (apenas ML),25,SVM_RBF,0.4456
real,baseline (apenas ML),25,KNN,0.4152
real,baseline (apenas ML),25,MLP,0.4405
real,baseline (apenas ML),25,NaiveBayes,0.5392
real,gemini-3-flash-preview (ML + LLM),34,RandomForest,0.4177
real,gemini-3-flash-preview (ML + LLM),34,GradientBoosting,0.438
real,gemini-3-flash-preview (ML + LLM),34,LogisticRegression,0.5494
real,gemini-3-flash-preview (ML + LLM),34,SVM_RBF,0.4228
real,gemini-3-flash-preview (ML + LLM),34,KNN,0.4253
real,gemini-3-flash-preview (ML + LLM),34,MLP,0.4152
real,gemini-3-flash-preview (ML + LLM),34,NaiveBayes,0.5114
