modelo,fold,score
RandomForest,0,0.2833333333333333
RandomForest,1,0.6203389830508474
RandomForest,2,0.4013840830449827
RandomForest,3,0.4076655052264808
RandomForest,4,0.236
GradientBoosting,0,0.29333333333333333
GradientBoosting,1,0.5457627118644067
GradientBoosting,2,0.33217993079584773
GradientBoosting,3,0.34494773519163763
GradientBoosting,4,0.3
LogisticRegression,0,0.4866666666666667
LogisticRegression,1,0.5389830508474577
LogisticRegression,2,0.328719723183391
LogisticRegression,3,0.49477351916376305
LogisticRegression,4,0.228
SVM_RBF,0,0.2966666666666667
SVM_RBF,1,0.5898305084745763
SVM_RBF,2,0.18339100346020762
SVM_RBF,3,0.2926829268292683
SVM_RBF,4,0.28
KNN,0,0.4033333333333333
KNN,1,0.49830508474576274
KNN,2,0.23875432525951557
KNN,3,0.3344947735191638
KNN,4,0.276
MLP,0,0.29333333333333333
MLP,1,0.5728813559322034
MLP,2,0.25951557093425603
MLP,3,0.289198606271777
MLP,4,0.248
NaiveBayes,0,0.5766666666666667
NaiveBayes,1,0.5491525423728814
NaiveBayes,2,0.47058823529411764
NaiveBayes,3,0.49825783972125437
NaiveBayes,4,0.372
