X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,coef_X1_abs,auc_mask_from_Xobs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue,caafe_missing_rate_by_quantile,caafe_tail_asymmetry,caafe_kurtosis_excess,caafe_cond_entropy_X0_mask,llm_ctx_domain_prior,llm_ctx_domain_confidence,llm_ctx_stats_consistency,llm_ctx_surprise,llm_ctx_confidence_delta,llm_ctx_counter_strength,llm_ctx_cause_type,llm_ctx_n_causes,llm_ctx_stats_agreement
0.01,1.0019490577084122,1.0,-0.013025694897126128,0.33593407129286573,0.5,0.522415163922999,-0.26498838514342393,0.1503048755966339,0.7803030303030304,0.004747474747474748,1.0,0.5482606262930859,0.003484404528722359,0.23672939353842545,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0,0.9943856361817978,0.15190162883267244,0.5,0.85,0.9,0.8,0.05,0.95,0.0,0.8,0.2
0.02,1.0039860860218264,1.1176470588235292,-0.0255657791392494,0.3406610513858721,0.9285714285714286,0.7149100424310016,-0.2523466751041502,0.10927903325781062,0.6913265306122448,0.009795918367346938,1.0,1.660631320752761,0.009905926205685794,0.240272282125837,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.05263157894736842,0.4909392813857134,0.1953571583627462,0.5,0.85,0.9,0.1,0.1,0.85,0.5,0.6,0.9
0.03,1.0068652133061389,1.0666666666666667,-0.04084011258743381,0.5146309516670776,0.86489898989899,1.0480999932589397,-0.2817336636564639,0.02612839469187487,0.6391752577319588,0.01422680412371134,1.0,1.7918301970951818,0.003049568890122935,0.24398322258817914,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.05263157894736842,0.562073771113047,0.19248813558165226,0.5,0.85,0.9,0.1,0.2,0.8,0.5,0.6,0.9
0.03,1.0071297207687924,1.0116731517509727,-0.038707989447469004,0.00957565295266245,0.7818813131313131,0.3880407626234031,-0.14820142607244022,0.723401346099819,0.47164948453608246,0.014536082474226804,1.0,1.3161304106605765,0.012194206150672942,0.16648904574798307,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.0,-0.10292634285505375,0.24694564671334288,1.0,0.7,0.3,0.8,0.15,0.2,0.5,0.8,0.4
0.04,1.0071990349063107,1.0067567567567566,-0.04950331620256598,0.17866204739797853,0.8333333333333334,0.6937619059292802,-0.16164674849267874,0.45968642830273265,0.4791666666666667,0.01875,1.0,2.1541111392443817,0.0,0.17471562867693183,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.06666666666666667,0.7457240357070538,0.2076220868171629,0.5,0.8,0.9,0.1,0.05,0.85,0.5,0.8,0.9
0.01,1.0015452712081925,1.0,-0.01089919276597573,0.2059557272391333,0.5,0.21386951784938588,-0.1312870305118368,0.9447144885708044,0.547979797979798,0.0048484848484848485,1.0,0.4073407449681775,0.0,0.13257824857739028,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.05263157894736842,0.20055990459807393,0.15615361481326842,0.0,0.9,0.9,0.1,0.0,0.1,0.0,0.8,0.9
0.01,1.0017436493555334,1.019867549668874,-0.012308536809565895,0.10303380948887189,0.5,0.09024403583870746,0.056103672382742165,0.6647961532287974,0.6111111111111112,0.004949494949494949,1.0,0.4073407449681775,0.0034838392677764944,0.07326185183190277,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.25,0.2620390774882315,0.16050932809625099,0.0,0.9,1.0,0.0,0.0,0.1,0.0,0.8,1.0
0.01,1.001557287601117,1.0065359477124183,-0.011695648248362778,0.31840291299926704,0.5,0.36747944204946903,-0.197844073813066,0.532659447939042,0.5732323232323232,0.004949494949494949,1.0,1.031893958319993,0.008709101112705085,0.15679430940755265,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.17647058823529413,1.491124599466798,0.13972139257699223,0.0,0.9,0.9,0.1,0.05,0.1,0.0,0.8,0.9
0.02,1.0034843205574915,1.0878048780487803,-0.023981309249553773,0.15438583181022864,0.6326530612244898,0.404435863343563,-0.16318620471444387,0.3304167932016412,0.5051020408163266,0.009795918367346938,1.0,1.6157218097983383,0.009904735668252396,0.15272510480063498,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.05263157894736842,0.3016179114405766,0.20638957306895334,0.5,0.8,0.9,0.1,0.05,0.9,0.5,0.8,0.9
0.02,1.0035006282686303,1.0,-0.026246627769614728,0.4789595188812847,0.7551020408163265,0.6913280004098347,-0.2299082423667141,0.0939149715187268,0.5918367346938775,0.009795918367346938,1.0,0.7906635454108182,0.01486273097337218,0.19045265969761765,0.5,0.5,0.5,0.0,0.0,1.0,20.0,0.1111111111111111,1.160153962418339,0.1701347257019611,0.5,0.9,0.9,0.1,0.15,0.85,0.5,0.8,0.9
