arquivo,rotulo_atual,n_rows,missing_rate,little_p,max_corr_Xi,corr_col,mar_p_min,ks_stat,ks_p,diagnostico,rotulo_recomendado
MCAR_arrhythmia_pwave.txt,MCAR,452,0.0487,0.025414,-0.134,X1,0.004325,0.0241,0.999066,INCONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MCAR_autompg_horsepower.txt,MCAR,398,0.0151,0.431108,-0.0817,X4,0.103767,0.0075,1.0,CONSISTENTE: MCAR confirmado,MCAR
MCAR_breastcancer_barenuclei.txt,MCAR,699,0.0229,0.275526,-0.0567,X1,0.134095,0.0094,1.0,CONSISTENTE: MCAR confirmado,MCAR
MCAR_creditapproval_a14.txt,MCAR,690,0.0188,0.704761,0.0396,X4,0.299522,0.0092,1.0,CONSISTENTE: MCAR confirmado,MCAR
MCAR_cylinderbands_bladepressure.txt,MCAR,540,0.1,8.7e-05,-0.1637,X1,0.000133,0.0442,0.678467,INCONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MCAR_cylinderbands_esavoltage.txt,MCAR,540,0.1,0.135413,0.0868,X2,0.043896,0.0337,0.921154,CONSISTENTE: MCAR confirmado,MCAR
MCAR_echomonths_epss.txt,MCAR,130,0.1,0.653288,0.136,X1,0.122931,0.0496,0.995741,CONSISTENTE: MCAR confirmado,MCAR
MCAR_hepatitis_albumin.txt,MCAR,155,0.0968,0.683764,0.0936,X3,0.246442,0.0449,0.996178,CONSISTENTE: MCAR confirmado,MCAR
MCAR_hepatitis_alkphosphate.txt,MCAR,155,0.0968,0.438372,0.1249,X3,0.121544,0.0442,0.996895,CONSISTENTE: MCAR confirmado,MCAR
MCAR_hypothyroid_t4u.txt,MCAR,3772,0.0999,0.0,-0.0826,X1,0.0,0.0499,0.000263,INCONSISTENTE: Possivelmente MNAR (rejeita MCAR + KS significativo),MNAR
MAR_airquality_ozone.txt,MAR,153,0.098,0.308818,-0.1541,X4,0.057112,0.049,0.989853,INCONSISTENTE: MCAR confirmado,MCAR
MAR_colic_resprate.txt,MAR,368,0.0978,0.391083,0.0846,X1,0.104999,0.0483,0.784737,INCONSISTENTE: MCAR confirmado,MCAR
MAR_hearth_chol.txt,MAR,294,0.0782,0.598745,-0.0835,X4,0.153298,0.039,0.974874,INCONSISTENTE: MCAR confirmado,MCAR
MAR_kidney_hemo.txt,MAR,400,0.1,0.740877,0.0611,X1,0.223013,0.0497,0.713998,INCONSISTENTE: MCAR confirmado,MCAR
MAR_mammographic_density.txt,MAR,886,0.0632,0.001804,-0.1261,X4,0.000167,0.0316,0.768443,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_oceanbuoys_airtemp.txt,MAR,736,0.0992,0.0,0.333,X1,0.0,0.0495,0.34422,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_oceanbuoys_humidity.txt,MAR,736,0.0992,0.0,-0.333,X1,0.0,0.0491,0.354972,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_sick_t3.txt,MAR,3772,0.0999,0.00046,-0.072,X1,1e-05,0.0481,0.000495,INCONSISTENTE: Possivelmente MNAR (rejeita MCAR + KS significativo),MNAR
MAR_sick_tsh.txt,MAR,3772,0.0978,0.0,-0.1052,X1,0.0,0.0484,0.000432,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_titanic_age.txt,MAR,891,0.0999,6.2e-05,0.1323,X1,7.5e-05,0.0489,0.252806,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MAR_titanic_age_v2.txt,MAR,891,0.0999,0.000296,0.1099,X1,0.001019,0.0496,0.239988,CONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MNAR_adult_capitalgain.txt,MNAR,1000,0.1,0.656572,-0.0333,X2,0.292459,0.0432,0.327901,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_colic_pcv.txt,MNAR,368,0.0978,0.975098,0.0293,X4,0.575179,0.0469,0.814558,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_colic_refluxph.txt,MNAR,368,0.0978,0.142097,-0.0952,X1,0.068042,0.048,0.790806,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_colic_totalprotein.txt,MNAR,368,0.0978,0.107704,0.1057,X4,0.042677,0.0483,0.784737,CONSISTENTE: Ambiguo (testes conflitantes),MNAR
MNAR_cylinderbands_varnishpct.txt,MNAR,540,0.1,0.00419,0.1368,X2,0.001439,0.0496,0.535765,INCONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MNAR_hepatitis_protime.txt,MNAR,155,0.0968,0.774718,0.0871,X1,0.281125,0.0477,0.992067,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_kidney_pot.txt,MNAR,400,0.1,0.009414,0.1601,X3,0.001315,0.0478,0.757909,INCONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
MNAR_kidney_sod.txt,MNAR,400,0.1,0.059065,0.0947,X3,0.058337,0.0489,0.73298,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_mroz_wages.txt,MNAR,753,0.0996,0.021503,0.0861,X3,0.018063,0.0497,0.328061,CONSISTENTE: Ambiguo (testes conflitantes),MNAR
MNAR_pima_insulin.txt,MNAR,768,0.099,0.900567,-0.0267,X3,0.459972,0.0488,0.337549,INCONSISTENTE: MCAR confirmado,MCAR
MNAR_pima_skinthickness.txt,MNAR,768,0.099,0.000698,0.1271,X4,0.000412,0.0489,0.334141,INCONSISTENTE: Evidencia MAR (rejeita MCAR + correlacao mask-Xi),MAR
