iter	Passed	Remaining
0	0	111
1	0	111
2	1	111
3	1	111
4	1	112
5	2	110
6	2	111
7	3	110
8	3	110
9	3	110
10	4	109
11	4	108
12	4	109
13	5	109
14	5	108
15	6	108
16	6	108
17	6	107
18	7	106
19	7	106
20	8	106
21	8	106
22	8	105
23	9	105
24	9	104
25	9	104
26	10	103
27	10	103
28	11	103
29	11	102
30	11	102
31	12	101
32	12	101
33	12	101
34	13	100
35	13	100
36	14	100
37	14	99
38	14	99
39	15	99
40	15	98
41	15	98
42	16	97
43	16	97
44	17	97
45	17	96
46	17	96
47	18	95
48	18	95
49	18	94
50	19	94
51	19	94
52	20	93
53	20	93
54	20	93
55	21	92
56	21	92
57	22	92
58	22	91
59	22	91
60	23	90
61	23	90
62	23	89
63	24	89
64	24	89
65	25	88
66	25	88
67	25	87
68	26	87
69	26	87
70	26	86
71	27	86
72	27	85
73	27	85
74	28	85
75	28	84
76	29	84
77	29	83
78	29	83
79	30	83
80	30	82
81	31	82
82	31	82
83	31	81
84	32	81
85	32	81
86	32	80
87	33	80
88	33	79
89	34	79
90	34	79
91	34	78
92	35	78
93	35	77
94	35	77
95	36	77
96	36	76
97	36	76
98	37	75
99	38	77
100	38	76
101	39	76
102	39	76
103	40	75
104	40	75
105	40	74
106	41	74
107	41	73
108	41	73
109	42	73
110	42	72
111	43	72
112	43	71
113	43	71
114	44	71
115	44	70
116	45	70
117	45	70
118	45	69
119	46	69
120	46	68
121	46	68
122	47	68
123	47	67
124	48	67
125	48	66
126	48	66
127	49	66
128	49	65
129	50	65
130	50	65
131	50	64
132	51	64
133	51	63
134	51	63
135	52	63
136	52	62
137	53	62
138	53	61
139	53	61
140	54	61
141	54	60
142	54	60
143	55	59
144	55	59
145	55	59
146	56	58
147	56	58
148	57	57
149	57	57
150	58	57
151	58	56
152	58	56
153	59	56
154	59	55
155	59	55
156	60	54
157	60	54
158	61	54
159	61	53
160	61	53
161	62	52
162	62	52
163	62	52
164	63	51
165	63	51
166	64	50
167	64	50
168	64	50
169	65	49
170	65	49
171	65	49
172	66	48
173	66	48
174	67	47
175	67	47
176	67	47
177	68	46
178	68	46
179	69	46
180	69	45
181	69	45
182	70	44
183	70	44
184	71	44
185	71	43
186	71	43
187	72	43
188	72	42
189	72	42
190	73	41
191	73	41
192	74	41
193	74	40
194	74	40
195	75	39
196	75	39
197	76	39
198	76	38
199	76	38
200	77	37
201	77	37
202	77	37
203	78	36
204	78	36
205	79	36
206	79	35
207	79	35
208	80	34
209	80	34
210	80	34
211	81	33
212	81	33
213	82	33
214	82	32
215	82	32
216	83	31
217	83	31
218	84	31
219	84	30
220	84	30
221	85	29
222	85	29
223	85	29
224	86	28
225	86	28
226	87	28
227	87	27
228	87	27
229	88	26
230	88	26
231	88	26
232	89	25
233	89	25
234	90	24
235	90	24
236	90	24
237	91	23
238	91	23
239	92	23
240	92	22
241	92	22
242	93	21
243	93	21
244	93	21
245	94	20
246	94	20
247	95	19
248	95	19
249	95	19
250	96	18
251	96	18
252	97	18
253	97	17
254	97	17
255	98	16
256	98	16
257	98	16
258	99	15
259	99	15
260	100	14
261	100	14
262	100	14
263	101	13
264	101	13
265	102	13
266	102	12
267	102	12
268	103	11
269	103	11
270	103	11
271	104	10
272	104	10
273	105	9
274	105	9
275	105	9
276	106	8
277	106	8
278	107	8
279	107	7
280	107	7
281	108	6
282	108	6
283	109	6
284	109	5
285	109	5
286	110	4
287	110	4
288	110	4
289	111	3
290	111	3
291	111	3
292	112	2
293	112	2
294	113	1
295	113	1
296	113	1
297	114	0
298	114	0
299	115	0
