mecanismo,modelo,n_amostras,acuracia_baseline,acuracia_llm,delta,b_baseline_acerta_llm_erra,c_baseline_erra_llm_acerta,mcnemar_chi2,mcnemar_p,significant_005,marker
MCAR,GradientBoosting,71,0.5070422535211268,0.5352112676056338,0.028169014084507005,9,11,0.05,0.8230632737581214,False,
MCAR,KNN,71,0.5211267605633803,0.5774647887323944,0.05633802816901412,7,11,0.5,0.47950012218695337,False,
MCAR,LogisticRegression,71,0.3380281690140845,0.4647887323943662,0.1267605633802817,1,10,5.818181818181818,0.015861332739773082,True,*
MCAR,MLP,71,0.49295774647887325,0.5774647887323944,0.08450704225352113,6,12,1.3888888888888888,0.23859282931643544,False,
MCAR,NaiveBayes,71,0.4084507042253521,0.4788732394366197,0.07042253521126757,4,9,1.2307692307692308,0.26725749315438785,False,
MCAR,RandomForest,71,0.5070422535211268,0.5774647887323944,0.07042253521126762,5,10,1.0666666666666667,0.3016995824783478,False,
MCAR,SVM_RBF,71,0.36619718309859156,0.4507042253521127,0.08450704225352113,2,8,2.5,0.11384629800665813,False,
MAR,GradientBoosting,130,0.9230769230769231,0.9230769230769231,0.0,1,1,0.5,0.47950012218695337,False,
MAR,KNN,130,0.9,0.8769230769230769,-0.023076923076923106,6,3,0.4444444444444444,0.5049850750938457,False,
MAR,LogisticRegression,130,0.9307692307692308,0.9307692307692308,0.0,0,0,0.0,1.0,False,
MAR,MLP,130,0.9076923076923077,0.8692307692307693,-0.038461538461538436,7,2,1.7777777777777777,0.18242243945173597,False,
MAR,NaiveBayes,130,0.823076923076923,0.8538461538461538,0.03076923076923077,0,4,2.25,0.13361440253771617,False,
MAR,RandomForest,130,0.9307692307692308,0.9230769230769231,-0.007692307692307665,1,0,0.0,1.0,False,
MAR,SVM_RBF,130,0.9,0.8923076923076924,-0.007692307692307665,1,0,0.0,1.0,False,
MNAR,GradientBoosting,99,0.6666666666666666,0.6565656565656566,-0.010101010101010055,12,11,0.0,1.0,False,
MNAR,KNN,99,0.5050505050505051,0.5454545454545454,0.04040404040404033,21,25,0.1956521739130435,0.6582534143112833,False,
MNAR,LogisticRegression,99,0.8080808080808081,0.7777777777777778,-0.030303030303030276,8,5,0.3076923076923077,0.5790997419539188,False,
MNAR,MLP,99,0.7777777777777778,0.6565656565656566,-0.12121212121212122,21,9,4.033333333333333,0.044609718024939626,True,*
MNAR,NaiveBayes,99,0.8383838383838383,0.7575757575757576,-0.08080808080808077,9,1,4.9,0.026856695507524453,True,*
MNAR,RandomForest,99,0.7171717171717171,0.7777777777777778,0.06060606060606066,7,13,1.25,0.2635524772829724,False,
MNAR,SVM_RBF,99,0.8484848484848485,0.7575757575757576,-0.09090909090909094,12,3,4.266666666666667,0.0388671038124172,True,*
