mecanismo,modelo,n_amostras,acuracia_baseline,acuracia_llm,delta,b_baseline_acerta_llm_erra,c_baseline_erra_llm_acerta,mcnemar_chi2,mcnemar_p,significant_005,marker
MCAR,GradientBoosting,100,0.41,0.5,0.09000000000000002,3,12,4.266666666666667,0.0388671038124172,True,*
MCAR,KNN,100,0.63,0.7,0.06999999999999995,11,18,1.2413793103448276,0.2652053925915073,False,
MCAR,LogisticRegression,100,0.54,0.61,0.06999999999999995,8,15,1.565217391304348,0.2109029260566102,False,
MCAR,MLP,100,0.44,0.51,0.07,7,14,1.7142857142857142,0.19043026382552408,False,
MCAR,NaiveBayes,100,0.75,0.79,0.040000000000000036,5,9,0.6428571428571429,0.4226780741706353,False,
MCAR,RandomForest,100,0.36,0.44,0.08000000000000002,4,12,3.0625,0.08011831372763434,False,
MCAR,SVM_RBF,100,0.59,0.64,0.050000000000000044,14,19,0.48484848484848486,0.48623432138829725,False,
MAR,GradientBoosting,100,0.46,0.45,-0.010000000000000009,1,0,0.0,1.0,False,
MAR,KNN,100,0.23,0.26,0.03,12,15,0.14814814814814814,0.7003113729368903,False,
MAR,LogisticRegression,100,0.15,0.19,0.04000000000000001,1,5,1.5,0.22067136191984693,False,
MAR,MLP,100,0.32,0.36,0.03999999999999998,5,9,0.6428571428571429,0.4226780741706353,False,
MAR,NaiveBayes,100,0.01,0.01,0.0,0,0,0.0,1.0,False,
MAR,RandomForest,100,0.4,0.38,-0.020000000000000018,3,1,0.25,0.6170750774519739,False,
MAR,SVM_RBF,100,0.36,0.37,0.010000000000000009,7,8,0.0,1.0,False,
MNAR,GradientBoosting,200,0.59,0.53,-0.05999999999999994,19,7,4.653846153846154,0.030984050098456728,True,*
MNAR,KNN,200,0.34,0.325,-0.015000000000000013,36,33,0.057971014492753624,0.80973205979319,False,
MNAR,LogisticRegression,200,0.39,0.355,-0.03500000000000003,31,24,0.6545454545454545,0.4184922334468195,False,
MNAR,MLP,200,0.465,0.465,0.0,26,26,0.019230769230769232,0.8897069355331011,False,
MNAR,NaiveBayes,200,0.29,0.445,0.15500000000000003,4,35,23.076923076923077,1.5564763744535526e-06,True,***
MNAR,RandomForest,200,0.565,0.54,-0.02499999999999991,19,14,0.48484848484848486,0.48623432138829725,False,
MNAR,SVM_RBF,200,0.345,0.33,-0.014999999999999958,32,29,0.06557377049180328,0.7978938831986565,False,
