mecanismo,modelo,n_amostras,acuracia_baseline,acuracia_llm,delta,b_baseline_acerta_llm_erra,c_baseline_erra_llm_acerta,mcnemar_chi2,mcnemar_p,significant_005,marker
MCAR,GradientBoosting,50,0.38,0.42,0.03999999999999998,0,2,0.5,0.47950012218695337,False,
MCAR,KNN,50,0.74,0.72,-0.020000000000000018,6,5,0.0,1.0,False,
MCAR,LogisticRegression,50,0.64,0.72,0.07999999999999996,1,5,1.5,0.22067136191984693,False,
MCAR,MLP,50,0.58,0.52,-0.05999999999999994,9,6,0.26666666666666666,0.6055766163353462,False,
MCAR,NaiveBayes,50,0.9,0.9,0.0,0,0,0.0,1.0,False,
MCAR,RandomForest,50,0.44,0.5,0.06,0,3,1.3333333333333333,0.24821307898992362,False,
MCAR,SVM_RBF,50,0.7,0.76,0.06000000000000005,4,7,0.36363636363636365,0.5464935954065822,False,
MNAR,GradientBoosting,141,0.6312056737588653,0.6170212765957447,-0.014184397163120588,21,19,0.025,0.8743670611628918,False,
MNAR,KNN,141,0.36879432624113473,0.3971631205673759,0.028368794326241176,30,34,0.140625,0.7076604666545525,False,
MNAR,LogisticRegression,141,0.3546099290780142,0.425531914893617,0.07092198581560283,24,34,1.396551724137931,0.2373017786499998,False,
MNAR,MLP,141,0.5319148936170213,0.5035460992907801,-0.028368794326241176,34,30,0.140625,0.7076604666545525,False,
MNAR,NaiveBayes,141,0.28368794326241137,0.45390070921985815,0.17021276595744678,23,47,7.557142857142857,0.005977268092463461,True,**
MNAR,RandomForest,141,0.574468085106383,0.5602836879432624,-0.014184397163120588,26,24,0.02,0.887537083981715,False,
MNAR,SVM_RBF,141,0.3546099290780142,0.41134751773049644,0.05673758865248224,27,35,0.7903225806451613,0.37400260202603475,False,
