modelo,fold,score
RandomForest,0,0.436
RandomForest,1,0.6979591836734694
RandomForest,2,0.3459915611814346
RandomForest,3,0.335
RandomForest,4,0.27
GradientBoosting,0,0.492
GradientBoosting,1,0.6653061224489796
GradientBoosting,2,0.3755274261603376
GradientBoosting,3,0.265
GradientBoosting,4,0.25
LogisticRegression,0,0.384
LogisticRegression,1,0.710204081632653
LogisticRegression,2,0.4641350210970464
LogisticRegression,3,0.24
LogisticRegression,4,0.205
SVM_RBF,0,0.364
SVM_RBF,1,0.689795918367347
SVM_RBF,2,0.189873417721519
SVM_RBF,3,0.175
SVM_RBF,4,0.24
KNN,0,0.376
KNN,1,0.6857142857142857
KNN,2,0.32489451476793246
KNN,3,0.345
KNN,4,0.325
MLP,0,0.368
MLP,1,0.563265306122449
MLP,2,0.2489451476793249
MLP,3,0.16
MLP,4,0.255
NaiveBayes,0,0.544
NaiveBayes,1,0.7306122448979592
NaiveBayes,2,0.4810126582278481
NaiveBayes,3,0.26
NaiveBayes,4,0.31
