modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.9361702127659575,0.4631578947368421,0.6197183098591549,95
RandomForest,MAR,0.43283582089552236,0.38666666666666666,0.4084507042253521,150
RandomForest,MNAR,0.17543859649122806,0.4,0.24390243902439024,50
GradientBoosting,MCAR,0.9565217391304348,0.4631578947368421,0.624113475177305,95
GradientBoosting,MAR,0.3953488372093023,0.34,0.3655913978494624,150
GradientBoosting,MNAR,0.15833333333333333,0.38,0.2235294117647059,50
LogisticRegression,MCAR,0.9302325581395349,0.42105263157894735,0.5797101449275363,95
LogisticRegression,MAR,0.3153153153153153,0.23333333333333334,0.2681992337164751,150
LogisticRegression,MNAR,0.03546099290780142,0.1,0.05235602094240838,50
SVM_RBF,MCAR,0.875,0.3684210526315789,0.5185185185185185,95
SVM_RBF,MAR,0.36054421768707484,0.35333333333333333,0.3569023569023569,150
SVM_RBF,MNAR,0.046296296296296294,0.1,0.06329113924050633,50
KNN,MCAR,0.5063291139240507,0.42105263157894735,0.45977011494252873,95
KNN,MAR,0.4818181818181818,0.35333333333333333,0.4076923076923077,150
KNN,MNAR,0.16981132075471697,0.36,0.23076923076923078,50
MLP,MCAR,0.8666666666666667,0.4105263157894737,0.5571428571428572,95
MLP,MAR,0.4144736842105263,0.42,0.41721854304635764,150
MLP,MNAR,0.10204081632653061,0.2,0.13513513513513514,50
NaiveBayes,MCAR,1.0,0.4,0.5714285714285714,95
NaiveBayes,MAR,0.5795454545454546,0.34,0.42857142857142855,150
NaiveBayes,MNAR,0.15976331360946747,0.54,0.2465753424657534,50
