strategy,model,accuracy,f1_macro,R_MCAR,R_MAR,R_MNAR,acc_L1
smote,GBT,0.5051,0.4879,0.474,0.56,0.4,0.8203
smote+balanced_weights,GBT,0.5051,0.4879,0.474,0.56,0.4,0.8203
none,GBT,0.4983,0.4748,0.463,0.573,0.34,0.8203
adasyn,GBT,0.461,0.4447,0.463,0.513,0.3,0.8169
borderline,GBT,0.461,0.4419,0.463,0.52,0.28,0.8169
undersample,GBT,0.461,0.4447,0.495,0.48,0.34,0.7864
smote_tomek,GBT,0.4475,0.4174,0.474,0.527,0.16,0.8203
smote,RF,0.4339,0.4087,0.463,0.507,0.16,0.8203
smote+balanced_weights,RF_balanced,0.4339,0.4087,0.463,0.507,0.16,0.8203
none,RF,0.4305,0.4054,0.463,0.507,0.14,0.8271
undersample,RF,0.4203,0.3922,0.484,0.46,0.18,0.7763
smote_tomek,RF,0.4203,0.3857,0.453,0.513,0.08,0.8169
borderline,RF,0.4136,0.3826,0.463,0.493,0.08,0.8169
smote+balanced_weights,LR_balanced,0.4102,0.3753,0.442,0.5,0.08,0.7966
smote+balanced_weights,SVM_balanced,0.4102,0.3891,0.389,0.48,0.24,0.7797
adasyn,RF,0.4068,0.381,0.432,0.487,0.12,0.8102
