feature,mean_abs_shap_l1
X0_censoring_score,0.15946077127243852
X1_mean_diff,0.06760530283143633
X0_ks_obs_vs_imputed,0.06612739473584651
X0_obs_skew_diff,0.043996465500246794
X0_obs_vs_full_ratio,0.04324983185865527
X0_missing_rate,0.019514460424060142
mask_entropy,0.019283161041923968
little_proxy_score,0.018349382243019068
X0_iqr_ratio,0.01600819056504058
X0_mean_shift_X1_to_X4,0.012309186940476828
X1_mannwhitney_pval,0.01147431287635992
mechdetect_delta_complete_excluded,0.01136250573949657
mechdetect_delta_complete_shuffled,0.007539830565420634
auc_mask_from_Xobs,0.007012070060626439
log_pval_X1_mask,0.0064736866151672255
mechdetect_mwu_pvalue,0.006364664551781261
coef_X1_abs,0.005662037225140157
mechdetect_auc_complete,0.005550589180196621
mechdetect_auc_shuffled,0.005344797178406376
mechdetect_auc_excluded,0.002918257053191707
X0_tail_missing_ratio,0.001281923366604216
