config,modelo,accuracy,ci_lower,ci_upper
E1_disc,RandomForest,0.69,0.6365833333333334,0.74
E1_disc,GradientBoosting,0.6733333333333333,0.62,0.7266666666666667
E1_disc,LogisticRegression,0.7066666666666667,0.6566666666666666,0.76
E1_disc,SVM_RBF,0.6833333333333333,0.63,0.7366666666666667
E1_disc,KNN,0.6633333333333333,0.6066666666666667,0.7166666666666667
E1_disc,MLP,0.6833333333333333,0.6299166666666667,0.7333333333333333
E1_disc,NaiveBayes,0.6633333333333333,0.6133333333333333,0.7167499999999999
E2_stat_mnar,RandomForest,0.75,0.7,0.7966666666666666
E2_stat_mnar,GradientBoosting,0.7366666666666667,0.6866666666666666,0.7834166666666665
E2_stat_mnar,LogisticRegression,0.7633333333333333,0.7165833333333333,0.8067499999999999
E2_stat_mnar,SVM_RBF,0.7633333333333333,0.7133333333333334,0.8133333333333334
E2_stat_mnar,KNN,0.72,0.6666666666666666,0.7666666666666667
E2_stat_mnar,MLP,0.68,0.6266666666666667,0.7366666666666667
E2_stat_mnar,NaiveBayes,0.7,0.6466666666666666,0.75
E3_baseline,RandomForest,0.7433333333333333,0.69,0.7900833333333332
E3_baseline,GradientBoosting,0.74,0.6866666666666666,0.79
E3_baseline,LogisticRegression,0.75,0.7,0.7966666666666666
E3_baseline,SVM_RBF,0.7566666666666667,0.71,0.8033333333333333
E3_baseline,KNN,0.68,0.63,0.7366666666666667
E3_baseline,MLP,0.7133333333333334,0.6633333333333333,0.7666666666666667
E3_baseline,NaiveBayes,0.73,0.68,0.78
E4_caafe,RandomForest,0.78,0.7365833333333334,0.8266666666666667
E4_caafe,GradientBoosting,0.7566666666666667,0.71,0.8000833333333333
E4_caafe,LogisticRegression,0.7566666666666667,0.7066666666666667,0.8100833333333333
E4_caafe,SVM_RBF,0.7666666666666667,0.7199166666666666,0.8134166666666666
E4_caafe,KNN,0.7033333333333334,0.6533333333333333,0.7533333333333333
E4_caafe,MLP,0.73,0.68,0.7866666666666666
E4_caafe,NaiveBayes,0.71,0.6633333333333333,0.7666666666666667
E5_llm,RandomForest,0.7533333333333333,0.7066666666666667,0.8
E5_llm,GradientBoosting,0.7533333333333333,0.71,0.8033333333333333
E5_llm,LogisticRegression,0.76,0.71,0.8066666666666666
E5_llm,SVM_RBF,0.77,0.72,0.8166666666666667
E5_llm,KNN,0.7,0.6433333333333333,0.75
E5_llm,MLP,0.7733333333333333,0.7265833333333334,0.8166666666666667
E5_llm,NaiveBayes,0.73,0.6833333333333333,0.78
E6_all,RandomForest,0.7866666666666666,0.74,0.83
E6_all,GradientBoosting,0.7433333333333333,0.6933333333333334,0.7867499999999998
E6_all,LogisticRegression,0.77,0.72,0.8166666666666667
E6_all,SVM_RBF,0.7566666666666667,0.7099166666666666,0.8034166666666666
E6_all,KNN,0.71,0.6599166666666667,0.7633333333333333
E6_all,MLP,0.7666666666666667,0.72,0.8133333333333334
E6_all,NaiveBayes,0.7333333333333333,0.6833333333333333,0.7833333333333333
