modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.6101694915254238,0.5070422535211268,0.5538461538461539,71
RandomForest,MAR,0.937984496124031,0.9307692307692308,0.9343629343629344,130
RandomForest,MNAR,0.6339285714285714,0.7171717171717171,0.6729857819905213,99
GradientBoosting,MCAR,0.5454545454545454,0.5070422535211268,0.5255474452554745,71
GradientBoosting,MAR,0.9375,0.9230769230769231,0.9302325581395349,130
GradientBoosting,MNAR,0.6226415094339622,0.6666666666666666,0.6439024390243903,99
LogisticRegression,MCAR,0.6486486486486487,0.3380281690140845,0.4444444444444444,71
LogisticRegression,MAR,0.9166666666666666,0.9307692307692308,0.9236641221374046,130
LogisticRegression,MNAR,0.6106870229007634,0.8080808080808081,0.6956521739130435,99
SVM_RBF,MCAR,0.7027027027027027,0.36619718309859156,0.48148148148148145,71
SVM_RBF,MAR,0.9285714285714286,0.9,0.9140625,130
SVM_RBF,MNAR,0.6131386861313869,0.8484848484848485,0.711864406779661,99
KNN,MCAR,0.4567901234567901,0.5211267605633803,0.4868421052631579,71
KNN,MAR,0.8931297709923665,0.9,0.896551724137931,130
KNN,MNAR,0.5681818181818182,0.5050505050505051,0.5347593582887701,99
MLP,MCAR,0.6730769230769231,0.49295774647887325,0.5691056910569106,71
MLP,MAR,0.9076923076923077,0.9076923076923077,0.9076923076923077,130
MLP,MNAR,0.652542372881356,0.7777777777777778,0.7096774193548387,99
NaiveBayes,MCAR,0.4915254237288136,0.4084507042253521,0.4461538461538462,71
NaiveBayes,MAR,0.9553571428571429,0.823076923076923,0.8842975206611571,130
NaiveBayes,MNAR,0.6434108527131783,0.8383838383838383,0.7280701754385965,99
