modelo,fold,score
RandomForest,0,0.7583333333333333
RandomForest,1,0.7916666666666666
RandomForest,2,0.7875
RandomForest,3,0.7458333333333333
RandomForest,4,0.725
GradientBoosting,0,0.7791666666666667
GradientBoosting,1,0.7708333333333334
GradientBoosting,2,0.7916666666666666
GradientBoosting,3,0.7291666666666666
GradientBoosting,4,0.7083333333333334
LogisticRegression,0,0.7666666666666667
LogisticRegression,1,0.7833333333333333
LogisticRegression,2,0.7833333333333333
LogisticRegression,3,0.7458333333333333
LogisticRegression,4,0.7458333333333333
SVM_RBF,0,0.7666666666666667
SVM_RBF,1,0.8041666666666667
SVM_RBF,2,0.7875
SVM_RBF,3,0.7333333333333333
SVM_RBF,4,0.75
KNN,0,0.7083333333333334
KNN,1,0.7708333333333334
KNN,2,0.7083333333333334
KNN,3,0.7333333333333333
KNN,4,0.6833333333333333
MLP,0,0.725
MLP,1,0.7625
MLP,2,0.7166666666666667
MLP,3,0.7166666666666667
MLP,4,0.6541666666666667
NaiveBayes,0,0.725
NaiveBayes,1,0.675
NaiveBayes,2,0.725
NaiveBayes,3,0.6458333333333334
NaiveBayes,4,0.6833333333333333
