modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.6833333333333333,0.5774647887323944,0.6259541984732825,71
RandomForest,MAR,0.9448818897637795,0.9230769230769231,0.933852140077821,130
RandomForest,MNAR,0.6814159292035398,0.7777777777777778,0.7264150943396226,99
GradientBoosting,MCAR,0.5757575757575758,0.5352112676056338,0.5547445255474452,71
GradientBoosting,MAR,0.916030534351145,0.9230769230769231,0.9195402298850575,130
GradientBoosting,MNAR,0.6310679611650486,0.6565656565656566,0.6435643564356436,99
LogisticRegression,MCAR,0.6875,0.4647887323943662,0.5546218487394958,71
LogisticRegression,MAR,0.9166666666666666,0.9307692307692308,0.9236641221374046,130
LogisticRegression,MNAR,0.6416666666666667,0.7777777777777778,0.7031963470319634,99
SVM_RBF,MCAR,0.64,0.4507042253521127,0.5289256198347108,71
SVM_RBF,MAR,0.8992248062015504,0.8923076923076924,0.8957528957528957,130
SVM_RBF,MNAR,0.6198347107438017,0.7575757575757576,0.6818181818181818,99
KNN,MCAR,0.5,0.5774647887323944,0.5359477124183006,71
KNN,MAR,0.8444444444444444,0.8769230769230769,0.8603773584905661,130
KNN,MNAR,0.6506024096385542,0.5454545454545454,0.5934065934065934,99
MLP,MCAR,0.5694444444444444,0.5774647887323944,0.5734265734265734,71
MLP,MAR,0.889763779527559,0.8692307692307693,0.8793774319066148,130
MLP,MNAR,0.6435643564356436,0.6565656565656566,0.65,99
NaiveBayes,MCAR,0.5074626865671642,0.4788732394366197,0.4927536231884058,71
NaiveBayes,MAR,0.9327731092436975,0.8538461538461538,0.891566265060241,130
NaiveBayes,MNAR,0.6578947368421053,0.7575757575757576,0.704225352112676,99
