feature,mean_abs_shap_l2_all
X1_mean_diff,0.09969586567415673
X1_mannwhitney_pval,0.07704597383130428
log_pval_X1_mask,0.07314756345551918
coef_X1_abs,0.045529580316723356
llm_mcar_conf,0.033337723154292884
llm_mar_conf,0.03144152928018042
mechdetect_auc_excluded,0.029373831771387856
mechdetect_auc_complete,0.028040017839509216
auc_mask_from_Xobs,0.020838235417447677
mechdetect_delta_complete_shuffled,0.014709428136357797
X0_mean_shift_X1_to_X4,0.009797332851191139
little_proxy_score,0.0059193817750840365
mechdetect_mwu_pvalue,0.005284356526047182
llm_mnar_conf,0.004104336133890674
llm_evidence_consistency,0.0039630637859011195
mechdetect_delta_complete_excluded,0.003165762949759261
X0_iqr_ratio,0.0027867274379306858
mechdetect_auc_shuffled,0.002349168325961162
mask_entropy,0.0023441296621609445
llm_pattern_clarity,0.002296320006508218
X0_ks_obs_vs_imputed,0.002168561581669025
caafe_kurtosis_excess,0.002107287054329202
llm_mcar_vs_mnar,0.0018789070890670488
X0_obs_vs_full_ratio,0.0016097531303747238
X0_missing_rate,0.0015609175763169282
caafe_cond_entropy_X0_mask,0.0014754155719892304
llm_dist_shift,0.0012389660906806607
X0_obs_skew_diff,0.0011911749472262646
llm_anomaly,0.0009220997009609219
caafe_missing_rate_by_quantile,0.0
caafe_tail_asymmetry,0.0
X0_censoring_score,0.0
X0_tail_missing_ratio,0.0
