feature,mean_abs_shap_l2
X1_mean_diff,0.10927455552920882
X1_mannwhitney_pval,0.10649794462647724
log_pval_X1_mask,0.08450578815035954
coef_X1_abs,0.057462839939346005
mechdetect_auc_excluded,0.03119080852582626
mechdetect_auc_complete,0.030166781477652893
auc_mask_from_Xobs,0.024549462925521383
mechdetect_delta_complete_shuffled,0.016268316112714894
X0_mean_shift_X1_to_X4,0.010655800803691448
little_proxy_score,0.007078831257451916
mechdetect_delta_complete_excluded,0.0049397845684129036
mechdetect_mwu_pvalue,0.0039687083741155125
mask_entropy,0.0037168405588751123
X0_iqr_ratio,0.0034338159491750777
mechdetect_auc_shuffled,0.0029504431900521546
caafe_kurtosis_excess,0.002656264000380548
X0_ks_obs_vs_imputed,0.002326441142518618
X0_missing_rate,0.00207750179937533
X0_obs_skew_diff,0.0020569812522011
X0_obs_vs_full_ratio,0.001786987199394488
caafe_cond_entropy_X0_mask,0.0016412696107152857
X0_censoring_score,0.0
X0_tail_missing_ratio,0.0
caafe_missing_rate_by_quantile,0.0
caafe_tail_asymmetry,0.0
