modelo,fold,score
RandomForest,0,0.5287356321839081
RandomForest,1,0.6608695652173913
RandomForest,2,0.39
RandomForest,3,0.55
RandomForest,4,0.4666666666666667
GradientBoosting,0,0.46839080459770116
GradientBoosting,1,0.7507246376811594
GradientBoosting,2,0.36
GradientBoosting,3,0.4766666666666667
GradientBoosting,4,0.51
LogisticRegression,0,0.4109195402298851
LogisticRegression,1,0.39420289855072466
LogisticRegression,2,0.35333333333333333
LogisticRegression,3,0.3933333333333333
LogisticRegression,4,0.31
SVM_RBF,0,0.46264367816091956
SVM_RBF,1,0.5971014492753624
SVM_RBF,2,0.28
SVM_RBF,3,0.55
SVM_RBF,4,0.30666666666666664
KNN,0,0.4885057471264368
KNN,1,0.5420289855072464
KNN,2,0.2833333333333333
KNN,3,0.48333333333333334
KNN,4,0.32
MLP,0,0.4396551724137931
MLP,1,0.6
MLP,2,0.2966666666666667
MLP,3,0.56
MLP,4,0.43
NaiveBayes,0,0.5689655172413793
NaiveBayes,1,0.5333333333333333
NaiveBayes,2,0.42333333333333334
NaiveBayes,3,0.56
NaiveBayes,4,0.16
