modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.6984126984126984,0.44,0.5398773006134969,100
RandomForest,MAR,0.296875,0.38,0.3333333333333333,100
RandomForest,MNAR,0.5167464114832536,0.54,0.5281173594132029,200
GradientBoosting,MCAR,0.7575757575757576,0.5,0.6024096385542169,100
GradientBoosting,MAR,0.33088235294117646,0.45,0.3813559322033898,100
GradientBoosting,MNAR,0.5353535353535354,0.53,0.5326633165829145,200
LogisticRegression,MCAR,0.5922330097087378,0.61,0.6009852216748769,100
LogisticRegression,MAR,0.13194444444444445,0.19,0.1557377049180328,100
LogisticRegression,MNAR,0.46405228758169936,0.355,0.40226628895184136,200
SVM_RBF,MCAR,0.6213592233009708,0.64,0.6305418719211823,100
SVM_RBF,MAR,0.2534246575342466,0.37,0.3008130081300813,100
SVM_RBF,MNAR,0.4370860927152318,0.33,0.37606837606837606,200
KNN,MCAR,0.48951048951048953,0.7,0.5761316872427984,100
KNN,MAR,0.21487603305785125,0.26,0.23529411764705882,100
KNN,MNAR,0.47794117647058826,0.325,0.3869047619047619,200
MLP,MCAR,0.6891891891891891,0.51,0.5862068965517241,100
MLP,MAR,0.27906976744186046,0.36,0.314410480349345,100
MLP,MNAR,0.4720812182741117,0.465,0.46851385390428213,200
NaiveBayes,MCAR,0.4540229885057471,0.79,0.5766423357664233,100
NaiveBayes,MAR,0.027777777777777776,0.01,0.014705882352941176,100
NaiveBayes,MNAR,0.46842105263157896,0.445,0.4564102564102564,200
